Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.729;0.729;0.679;0.679;0.767;0.058;10.121;1;1;1;1;1;0.443;0.688;0.731;0;1;0.0192;0.0001;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.842;0.842;0.674;0.674;0.868;0.315;2.393;0.998;1;0.988;0.988;1;0.442;0.797;0.85;0;2;0.0192;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.721;0.721;0.692;0.692;0.759;3.628;0.159;0.999;1;0.988;0.988;1;0.468;0.686;0.721;1;2;0.0001;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.753;0.753;0.661;0.661;0.789;0.069;8.992;1;1;1;1;1;0.444;0.712;0.758;0;1;0.02718;0.00011;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.847;0.847;0.637;0.637;0.873;0.27;2.827;1;1;1;1;1;0.441;0.802;0.859;0;2;0.02718;0.00042;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.757;0.757;0.67;0.67;0.792;2.787;0.225;1;1;1;1;1;0.472;0.719;0.757;1;2;0.00011;0.00042;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.895;0.895;0.721;0.721;0.917;0.079;10.697;1;1;0.993;0.993;1;0.456;0.8;0.903;0;1;0.01151;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.85;0.85;0.804;0.804;0.879;0.441;1.752;1;1;1;1;1;0.451;0.756;0.868;0;2;0.01151;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.891;0.891;0.758;0.758;0.912;5.342;0.156;1;1;0.993;1;0.993;0.472;0.781;0.892;1;2;0.00013;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.897;0.897;0.717;0.717;0.918;0.093;9.107;1;1;1;1;1;0.456;0.801;0.904;0;1;0.00846;0.00014;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.846;0.846;0.8;0.8;0.876;0.386;1.988;1;1;1;1;1;0.449;0.753;0.866;0;2;0.00846;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.904;0.904;0.767;0.767;0.922;4.031;0.211;1;1;1;1;1;0.474;0.784;0.905;1;2;0.00014;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.886;0.886;0.693;0.693;0.908;0.05;16.432;1;1;1;1;1;0.454;0.833;0.888;0;1;0.01201;0.00011;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.822;0.822;0.727;0.727;0.853;0.357;2.036;0.999;1;0.98;0.98;1;0.448;0.768;0;0;2;0.01201;0.00072;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.866;0.866;0.713;0.713;0.889;6.743;0.117;1;1;0.98;0.98;1;0.47;0.78;0.867;1;2;0.00011;0.00072;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.891;0.891;0.679;0.679;0.912;0.059;14.198;1;1;1;1;1;0.455;0.838;0.894;0;1;0.01058;0.00012;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.824;0.824;0.719;0.719;0.855;0.278;2.628;1;1;1;1;1;0.449;0.772;0;0;2;0.01058;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.883;0.883;0.705;0.705;0.903;4.577;0.178;1;1;1;1;1;0.474;0.797;0.884;1;2;0.00012;0.00055;0;0;-;-;No Fluorophore;No Feed
