Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.729;0.729;0.689;0.689;0.768;0.059;9.931;1;0.99;0.661;1;0.661;0.443;0.688;0.731;0;1;2.8588;0.0001;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.842;0.842;0.706;0.705;0.869;0.325;2.324;0.999;0.996;0.517;0.994;0.519;0.443;0.797;0.85;0;2;4.3536;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.715;0.714;0.724;0.726;0.751;3.663;0.154;1;0.982;0.3;0.997;0.3;0.468;0.679;0.715;1;2;0.29686;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.753;0.753;0.661;0.661;0.789;0.069;8.992;1;1;1;1;1;0.444;0.712;0.758;0;1;0.02718;0.00011;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.847;0.847;0.691;0.691;0.874;0.279;2.731;1;0.987;0.468;1;0.468;0.442;0.802;0.859;0;2;4.6471;0.00042;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.754;0.754;0.724;0.724;0.787;2.812;0.22;1;0.979;0.328;1;0.328;0.472;0.715;0.754;1;2;0.23462;0.00042;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.896;0.895;0.727;0.726;0.917;0.08;10.514;1;0.992;0.689;0.997;0.691;0.456;0.799;0.903;0;1;2.2884;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.85;0.85;0.803;0.803;0.88;0.455;1.7;1;0.99;0.525;1;0.525;0.452;0.756;0.869;0;2;3.9465;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.89;0.89;0.773;0.773;0.91;5.483;0.151;1;0.972;0.32;1;0.32;0.472;0.778;0.891;1;2;0.34736;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.897;0.897;0.722;0.721;0.918;0.094;8.968;1;0.993;0.718;0.997;0.72;0.456;0.801;0.904;0;1;1.8404;0.00014;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.846;0.846;0.801;0.801;0.876;0.397;1.935;1;0.993;0.556;1;0.556;0.45;0.753;0.866;0;2;3.1571;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.903;0.903;0.774;0.774;0.921;4.137;0.205;1;0.975;0.324;1;0.324;0.474;0.782;0.904;1;2;0.35658;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.886;0.886;0.693;0.693;0.908;0.05;16.432;1;1;1;1;1;0.454;0.833;0.888;0;2;4.8282;0.00072;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.822;0.822;0.771;0.771;0.853;0.368;1.979;1;0.995;0.451;1;0.451;0.45;0.767;0;0;2;4.8049;0.00072;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.864;0.864;0.758;0.758;0.887;6.975;0.113;1;0.977;0.283;1;0.283;0.471;0.776;0.865;1;2;0.3827;0.00072;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.891;0.891;0.679;0.679;0.912;0.059;14.198;1;1;1;1;1;0.455;0.838;0.894;0;1;0.01058;0.00012;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.824;0.824;0.75;0.75;0.856;0.285;2.573;1;0.995;0.527;1;0.527;0.449;0.771;0;0;2;3.3834;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.882;0.882;0.759;0.759;0.902;4.729;0.172;1;0.981;0.294;1;0.294;0.474;0.794;0.883;1;2;0.3909;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.708;0.569;0.834;0.771;0.757;0.084;6.845;0.96;0.981;0.68;0.749;0.881;0.451;0.683;0.708;0;1;14.621;0.91693;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.823;0.772;0.815;0.822;0.859;0.295;2.5;0.962;0.997;0.589;0.61;0.945;0.445;0.81;0.824;0;2;8.2981;0.89458;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.711;0.711;0.798;0.798;0.759;2.456;0.235;1;0.981;0.33;1;0.33;0.469;0.664;0.711;1;2;0.46703;0.00094;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.735;0.735;0.584;0.584;0.785;0.09;6.837;0.993;1;0.969;0.969;1;0.447;0.712;0.735;0;1;0.00581;0.00016;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.836;0.72;0.871;0.758;0.869;0.288;2.625;0.977;0.99;0.749;0.812;0.906;0.448;0.822;0.837;0;2;15.755;1.0728;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.742;0.742;0.81;0.81;0.787;2.081;0.298;1;0.984;0.355;1;0.355;0.47;0.695;0.742;1;2;0.33205;0.00212;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.899;0.899;0.769;0.769;0.923;0.061;13.934;1;1;1;1;1;0.456;0.749;0.901;0;1;0.00978;0.00014;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.862;0.86;0.834;0.838;0.893;0.373;2.133;1;0.995;0.475;0.998;0.475;0.453;0.704;0.869;0;2;4.176;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.856;0.854;0.805;0.813;0.886;5.684;0.138;1;0.979;0.338;1;0.338;0.457;0.682;0.857;1;2;0.48007;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.901;0.871;0.852;0.86;0.924;0.073;11.779;0.985;0.998;0.667;0.718;0.904;0.456;0.749;0.903;0;1;4.5726;0.12318;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.869;0.867;0.818;0.818;0.898;0.298;2.705;1;0.997;0.556;0.994;0.558;0.451;0.708;0.877;0;2;4.3329;0.0006;0;0;-;-;No Fluorophore;No Feed
