Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.419;0.419;0.309;0.309;0.497;0.175;1.412;1;1;1;1;1;0.332;0.249;0.423;0;1;0.00056;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.707;0.707;0.351;0.351;0.758;2.331;0.246;1;1;1;1;1;0.362;0.436;0.711;0;2;0.00056;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.565;0.565;0.69;0.69;0.612;5.35;0.07;1;1;1;1;1;0.452;0.305;0.565;1;2;0.00005;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.428;0.428;0.296;0.296;0.509;0.17;1.525;0.984;1;0.975;0.975;1;0.32;0.262;0.434;0;1;0.00059;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.697;0.697;0.385;0.385;0.747;2.041;0.274;1;1;1;1;1;0.35;0.426;0.702;0;2;0.00059;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.595;0.595;0.665;0.665;0.641;5.249;0.078;1;1;0.974;1;0.975;0.455;0.318;0.596;1;2;0.00006;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.561;0.561;0.414;0.414;0.63;0.145;2.739;1;1;1;1;1;0.38;0.339;0.592;0;1;0.00188;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.657;0.657;0.494;0.494;0.718;1.771;0.291;0.994;1;0.986;0.986;1;0.385;0.357;0.698;0;2;0.00188;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.714;0.714;0.673;0.673;0.752;8.055;0.07;1;1;0.986;0.986;1;0.474;0.374;0.714;1;2;0.00005;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.566;0.566;0.408;0.408;0.637;0.148;2.734;0.996;1;0.992;0.992;1;0.372;0.34;0.597;0;1;0.0006;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.651;0.651;0.452;0.452;0.713;1.591;0.319;0.997;1;0.992;0.992;1;0.377;0.352;0.695;0;2;0.0006;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.732;0.732;0.727;0.727;0.768;7.364;0.08;1;1;0.985;0.992;0.993;0.474;0.383;0.732;1;2;0.00005;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.21;0.21;0.423;0.423;0.273;0.23;0.324;0.964;1;0.935;0.935;1;0.323;0.113;0.21;0;1;0.00048;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.571;0.571;0.397;0.397;0.668;2.686;0.166;1;1;1;1;1;0.326;0.377;0.573;0;2;0.00048;0.00172;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.334;0.334;0.7;0.7;0.374;1.782;0.078;1;0.999;0.935;1;0.935;0.472;0.147;0.334;1;2;0.00005;0.00172;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.22;0.22;0.423;0.423;0.285;0.244;0.334;1;1;1;1;1;0.321;0.123;0.22;0;1;0.00109;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.577;0.577;0.424;0.424;0.672;2.538;0.178;1;1;1;1;1;0.325;0.381;0.578;0;2;0.00109;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.344;0.344;0.672;0.672;0.385;1.703;0.087;1;1;1;1;1;0.472;0.153;0.345;1;2;0.00006;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.621;0.621;0.52;0.52;0.693;0.162;2.97;0.996;1;0.988;0.988;1;0.388;0.387;0.635;0;1;0.00056;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.633;0.633;0.546;0.546;0.701;2.249;0.219;1;1;1;1;1;0.39;0.371;0.651;0;2;0.00056;0.00064;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.791;0.791;0.691;0.691;0.824;11.323;0.06;1;1;0.988;1;0.988;0.47;0.394;0.791;1;2;0.00005;0.00064;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.625;0.625;0.524;0.524;0.697;0.17;2.859;1;1;1;1;1;0.39;0.386;0.641;0;1;0.00058;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.639;0.639;0.538;0.538;0.706;2.074;0.24;1;1;1;1;1;0.392;0.369;0.656;0;2;0.00058;0.00058;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.799;0.799;0.687;0.687;0.83;10.009;0.069;1;1;1;1;1;0.472;0.399;0.799;1;2;0.00005;0.00058;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.225;0.225;0.456;0.456;0.278;0.179;0.434;0.982;1;0.959;0.959;1;0.365;0.13;0.241;0;1;0.00133;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.652;0.652;0.411;0.411;0.725;2.322;0.227;1;1;1;1;1;0.373;0.42;0.688;0;2;0.00133;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.313;0.313;0.718;0.718;0.351;1.749;0.07;1;0.999;0.959;1;0.959;0.466;0.179;0.313;1;2;0.00005;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.221;0.221;0.453;0.453;0.276;0.176;0.435;1;1;1;1;1;0.356;0.131;0.24;0;1;0.00055;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.644;0.644;0.418;0.418;0.718;2.011;0.257;1;1;1;1;1;0.364;0.414;0.679;0;2;0.00055;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.317;0.317;0.726;0.726;0.355;1.563;0.081;1;1;1;1;1;0.467;0.181;0.317;1;2;0.00006;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.567;0.567;0.489;0.489;0.645;0.183;2.282;0.992;1;0.981;0.981;1;0.383;0.329;0.601;0;1;0.00239;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.689;0.689;0.497;0.497;0.752;2.553;0.221;0.988;1;0.972;0.972;1;0.39;0.388;0.716;0;2;0.00239;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.734;0.734;0.719;0.718;0.774;9.301;0.064;1;1;0.959;0.975;0.983;0.475;0.416;0.734;1;2;0.00006;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.578;0.578;0.489;0.489;0.657;0.195;2.212;0.996;1;0.99;0.99;1;0.387;0.336;0.62;0;1;0.00159;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.696;0.696;0.527;0.527;0.757;2.358;0.243;0.991;1;0.976;0.976;1;0.393;0.393;0.725;0;2;0.00159;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.752;0.752;0.706;0.704;0.791;8.29;0.075;1;1;0.97;0.978;0.992;0.476;0.421;0.752;1;2;0.00007;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.2;0.2;0.594;0.594;0.248;0.298;0.207;1;1;1;1;1;0.399;0.183;0.219;0;1;0.00075;0.00012;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.687;0.687;0.621;0.621;0.761;2.034;0.285;1;1;1;1;1;0.413;0.438;0.733;0;2;0.00075;0.00081;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.247;0.247;0.747;0.747;0.286;0.636;0.128;1;1;1;1;1;0.456;0.149;0.247;1;2;0.00012;0.00081;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.204;0.204;0.592;0.592;0.253;0.307;0.208;1;1;1;1;1;0.401;0.183;0.218;0;1;0.00075;0.00012;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.692;0.692;0.605;0.605;0.765;1.863;0.314;0.991;1;0.965;0.965;1;0.415;0.44;0.735;0;2;0.00075;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.258;0.258;0.748;0.748;0.297;0.596;0.148;1;1;0.965;0.965;1;0.458;0.151;0.258;1;2;0.00012;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.307;0.307;0.41;0.41;0.373;0.159;0.878;0.986;1;0.971;0.971;1;0.388;0.167;0.313;0;1;0.0007;0.00008;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.665;0.665;0.5;0.5;0.729;1.906;0.279;1;1;1;1;1;0.398;0.342;0.679;0;2;0.0007;0.00082;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.397;0.397;0.653;0.653;0.444;2.732;0.072;1;1;0.971;1;0.971;0.471;0.166;0.397;1;2;0.00008;0.00082;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.31;0.31;0.414;0.414;0.378;0.163;0.876;0.986;1;0.971;0.971;1;0.383;0.159;0.319;0;1;0.00098;0.00008;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.661;0.661;0.434;0.434;0.725;1.691;0.311;1;1;1;1;1;0.393;0.331;0.679;0;2;0.00098;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.405;0.405;0.74;0.74;0.452;2.444;0.084;1;1;0.971;1;0.971;0.472;0.171;0.405;1;2;0.00008;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.211;0.211;0.56;0.56;0.25;0.167;0.375;0.984;1;0.943;0.943;1;0.403;0.211;0.231;0;1;0.00139;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.681;0.681;0.53;0.53;0.743;1.466;0.376;1;1;1;1;1;0.41;0.623;0.783;0;2;0.00139;0.00078;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.262;0.262;0.668;0.668;0.292;0.866;0.099;1;0.999;0.943;1;0.943;0.464;0.228;0.284;1;2;0.00009;0.00078;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.22;0.22;0.574;0.574;0.258;0.18;0.371;1;1;1;1;1;0.403;0.22;0.235;0;1;0.0008;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.688;0.688;0.571;0.571;0.747;1.375;0.406;0.998;1;0.991;0.991;1;0.41;0.625;0.786;0;2;0.0008;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.272;0.272;0.702;0.702;0.303;0.8;0.115;1;1;0.991;0.991;1;0.468;0.235;0.29;1;2;0.00009;0.0007;0;0;-;-;No Fluorophore;No Feed
