Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.347;0.191;0.649;0.387;0.396;0.178;0.88;0.849;0.864;0.5;0.603;0.747;0.396;0.205;0.35;0;1;5.8362;1.041;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.705;0.705;0.439;0.439;0.754;2.772;0.205;1;0.952;0.449;1;0.449;0.387;0.431;0.709;0;2;3.0156;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.555;0.555;0.732;0.732;0.599;5.325;0.067;1;0.979;0.305;1;0.305;0.455;0.297;0.555;1;2;0.19189;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.428;0.428;0.296;0.296;0.509;0.17;1.525;0.984;1;0.975;0.975;1;0.32;0.262;0.434;0;1;0.00059;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.695;0.695;0.453;0.452;0.747;2.503;0.223;1;0.952;0.455;1;0.455;0.379;0.422;0.7;0;2;3.4091;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.586;0.586;0.72;0.72;0.629;5.242;0.076;1;0.98;0.304;1;0.304;0.457;0.312;0.587;1;2;0.18866;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.561;0.561;0.414;0.414;0.63;0.145;2.739;1;1;1;1;1;0.38;0.339;0.592;0;1;0.00188;0.00005;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.65;0.65;0.545;0.542;0.705;2.057;0.242;0.998;0.94;0.41;0.993;0.412;0.407;0.352;0.692;0;2;3.7777;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.708;0.707;0.712;0.713;0.743;8.146;0.068;1;0.973;0.31;0.999;0.31;0.476;0.367;0.708;1;2;0.18059;0.0006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.566;0.566;0.408;0.408;0.637;0.148;2.734;0.996;1;0.992;0.992;1;0.372;0.34;0.597;0;2;3.7206;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.639;0.639;0.534;0.534;0.693;1.895;0.253;1;0.919;0.347;1;0.347;0.408;0.342;0.685;0;2;4.6003;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.726;0.726;0.739;0.739;0.76;7.459;0.077;1;0.973;0.311;1;0.311;0.476;0.376;0.726;1;2;0.18026;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.2;0.197;0.477;0.465;0.252;0.275;0.23;0.983;0.826;0.363;0.961;0.368;0.359;0.113;0.201;0;1;3.0599;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.557;0.557;0.449;0.449;0.636;3.161;0.128;1;0.887;0.429;1;0.429;0.353;0.37;0.558;0;2;2.461;0.00172;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.329;0.329;0.749;0.749;0.367;1.755;0.077;1;0.974;0.296;1;0.296;0.472;0.143;0.329;1;2;0.10748;0.00172;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.211;0.209;0.473;0.465;0.264;0.294;0.237;0.989;0.817;0.36;0.975;0.364;0.357;0.121;0.211;0;1;3.0393;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.563;0.563;0.465;0.465;0.641;2.995;0.137;1;0.889;0.43;1;0.43;0.352;0.374;0.564;1;2;0.10835;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.339;0.339;0.738;0.738;0.379;1.678;0.085;1;0.976;0.316;1;0.316;0.472;0.15;0.34;1;2;0.10835;0.00053;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.618;0.618;0.591;0.591;0.687;0.158;2.988;0.771;1;0.354;0.354;1;0.388;0.384;0.632;0;1;0.00056;0.07707;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.621;0.621;0.595;0.595;0.68;2.489;0.186;1;0.93;0.374;1;0.374;0.404;0.363;0.64;0;2;2.5657;0.00064;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.786;0.786;0.748;0.748;0.818;11.621;0.058;1;0.972;0.284;1;0.284;0.471;0.386;0.786;1;2;0.18435;0.00064;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.622;0.622;0.597;0.597;0.691;0.166;2.878;0.773;1;0.348;0.348;1;0.39;0.384;0.638;0;1;0.00058;0.08168;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.628;0.628;0.593;0.593;0.685;2.29;0.205;1;0.934;0.373;1;0.373;0.406;0.361;0.645;0;2;2.4464;0.00058;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.794;0.794;0.749;0.749;0.824;10.283;0.066;1;0.974;0.283;1;0.283;0.474;0.391;0.794;1;2;0.18968;0.00058;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.222;0.221;0.493;0.485;0.271;0.2;0.367;0.992;0.906;0.465;0.973;0.471;0.38;0.128;0.24;0;1;2.4405;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.644;0.643;0.481;0.475;0.707;2.65;0.188;0.996;0.911;0.421;0.987;0.423;0.392;0.415;0.681;0;2;2.792;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.308;0.307;0.741;0.743;0.343;1.719;0.069;1;0.967;0.345;0.999;0.345;0.466;0.175;0.308;1;2;0.11824;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.218;0.217;0.487;0.477;0.268;0.199;0.362;0.99;0.906;0.476;0.97;0.483;0.373;0.128;0.239;0;1;2.6608;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.636;0.636;0.481;0.481;0.701;2.339;0.21;1;0.916;0.429;1;0.429;0.385;0.407;0.672;0;2;3.0703;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.313;0.313;0.749;0.749;0.348;1.538;0.079;1;0.974;0.342;1;0.342;0.467;0.177;0.313;1;2;0.11511;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.567;0.567;0.489;0.489;0.645;0.183;2.282;0.992;1;0.981;0.981;1;0.383;0.329;0.601;0;1;0.00239;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.68;0.679;0.568;0.563;0.736;2.999;0.181;0.996;0.933;0.389;0.984;0.392;0.408;0.379;0.708;0;2;3.713;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.727;0.726;0.767;0.773;0.766;9.421;0.062;1;0.981;0.303;0.999;0.303;0.476;0.408;0.727;1;2;0.19387;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.578;0.578;0.489;0.489;0.657;0.195;2.212;0.996;1;0.99;0.99;1;0.387;0.336;0.62;0;1;0.00159;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.69;0.688;0.571;0.566;0.745;2.698;0.205;0.996;0.943;0.418;0.987;0.42;0.408;0.387;0.719;0;2;3.0478;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.746;0.745;0.765;0.77;0.783;8.416;0.073;1;0.982;0.311;0.999;0.311;0.478;0.414;0.746;1;2;0.20595;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.185;0.185;0.687;0.687;0.228;0.354;0.147;1;0.907;0.267;1;0.267;0.408;0.175;0.206;0;1;6.3495;0.00012;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.675;0.668;0.677;0.671;0.742;2.236;0.246;0.994;0.95;0.416;0.96;0.424;0.418;0.43;0.721;0;2;2.9655;0.00081;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.246;0.246;0.826;0.826;0.285;0.626;0.13;0.987;1;0.345;0.345;1;0.457;0.147;0.246;1;2;0.00012;1.0123;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.188;0.184;0.684;0.687;0.232;0.365;0.148;0.998;0.904;0.286;0.991;0.287;0.409;0.175;0.205;0;1;6.2324;0.00012;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.681;0.678;0.663;0.661;0.746;2.044;0.273;0.998;0.95;0.406;0.985;0.409;0.419;0.433;0.724;0;2;2.8287;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.257;0.253;0.812;0.823;0.296;0.576;0.152;0.979;1;0.339;0.339;1;0.459;0.149;0.257;1;2;0.00012;2.0667;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.307;0.307;0.41;0.41;0.373;0.159;0.878;0.986;1;0.971;0.971;1;0.388;0.167;0.313;0;1;0.0007;0.00008;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.656;0.654;0.561;0.553;0.714;2.214;0.23;0.996;0.958;0.411;0.984;0.413;0.417;0.335;0.67;0;2;4.7628;0.00082;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.386;0.384;0.711;0.716;0.429;2.666;0.069;1;0.983;0.296;0.996;0.296;0.472;0.159;0.386;1;2;0.32148;0.00082;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.266;0.154;0.691;0.535;0.316;0.165;0.606;0.871;0.921;0.513;0.566;0.846;0.409;0.133;0.275;0;1;6.167;0.94294;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.652;0.652;0.525;0.525;0.712;1.979;0.256;1;0.958;0.413;1;0.413;0.413;0.326;0.671;0;2;4.8567;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.394;0.394;0.747;0.747;0.437;2.389;0.08;1;0.987;0.288;1;0.288;0.473;0.164;0.394;1;2;0.31854;0.00073;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.208;0.208;0.612;0.612;0.244;0.186;0.32;1;0.951;0.364;1;0.364;0.417;0.207;0.229;0;1;5.0137;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.673;0.673;0.595;0.595;0.729;1.617;0.328;1;0.946;0.402;1;0.402;0.42;0.618;0.78;0;2;4.3721;0.00077;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.26;0.26;0.708;0.708;0.29;0.86;0.098;1;0.98;0.379;1;0.379;0.464;0.227;0.283;1;2;0.06611;0.00077;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.216;0.216;0.632;0.632;0.252;0.203;0.312;1;0.95;0.336;1;0.336;0.419;0.215;0.232;0;1;5.2267;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.681;0.68;0.617;0.616;0.734;1.515;0.356;1;0.949;0.402;0.998;0.403;0.42;0.62;0.783;0;2;4.0905;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.272;0.272;0.71;0.71;0.303;0.799;0.115;0.995;1;0.682;0.682;1;0.468;0.235;0.29;1;2;0.00009;0.11712;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.167;0.166;0.549;0.546;0.204;0.28;0.148;0.998;0.822;0.292;0.993;0.292;0.395;0.102;0.17;0;1;4.9506;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.704;0.704;0.523;0.523;0.756;2.914;0.196;1;0.942;0.457;1;0.457;0.39;0.379;0.714;1;2;0.11753;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.242;0.242;0.69;0.69;0.272;0.855;0.087;1;0.979;0.367;1;0.367;0.456;0.11;0.242;1;2;0.11753;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.17;0.169;0.538;0.536;0.208;0.288;0.151;0.998;0.812;0.299;0.994;0.3;0.39;0.108;0.171;0;1;5.1132;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.704;0.703;0.511;0.51;0.756;2.646;0.216;1;0.942;0.46;1;0.46;0.383;0.377;0.712;0;2;3.0489;0.00065;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.248;0.248;0.683;0.683;0.28;0.791;0.099;1;0.982;0.395;1;0.395;0.46;0.113;0.248;1;2;0.10501;0.00065;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.287;0.287;0.483;0.483;0.35;0.249;0.491;1;0.915;0.542;1;0.542;0.359;0.271;0.335;0;1;1.6873;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.593;0.592;0.506;0.502;0.658;4.121;0.105;0.999;0.894;0.395;0.996;0.395;0.376;0.564;0.643;0;2;2.6596;0.00088;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.366;0.366;0.734;0.737;0.41;3.44;0.049;1;0.973;0.27;1;0.27;0.471;0.349;0.366;1;2;0.29608;0.00088;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.305;0.305;0.468;0.466;0.37;0.265;0.515;0.998;0.913;0.54;0.996;0.541;0.348;0.269;0.343;0;1;2.0555;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.589;0.589;0.5;0.5;0.657;3.688;0.117;1;0.891;0.407;1;0.407;0.363;0.554;0.635;0;2;3.0166;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.383;0.383;0.735;0.735;0.427;3.187;0.057;1;0.974;0.268;1;0.268;0.473;0.363;0.383;1;2;0.30473;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.211;0.211;0.547;0.547;0.286;0.347;0.235;1;0.701;0.302;1;0.302;0.325;0.139;0.229;0;1;4.0768;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.664;0.664;0.61;0.61;0.729;3.235;0.164;1;0.932;0.403;1;0.403;0.409;0.435;0.694;0;2;2.6018;0.00085;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.254;0.254;0.675;0.675;0.313;1.261;0.078;1;0.956;0.373;1;0.373;0.363;0.162;0.255;1;2;0.99391;0.00085;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.209;0.206;0.551;0.547;0.286;0.365;0.224;0.999;0.698;0.302;0.994;0.303;0.328;0.146;0.231;0;1;4.127;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.668;0.668;0.612;0.612;0.731;2.915;0.183;1;0.943;0.398;1;0.398;0.411;0.435;0.703;0;2;2.5858;0.00076;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.26;0.26;0.714;0.714;0.319;1.106;0.092;1;0.969;0.379;1;0.379;0.368;0.163;0.261;1;2;1.0205;0.00076;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.174;0.174;0.586;0.586;0.208;0.172;0.251;1;0.915;0.307;1;0.307;0.432;0.169;0.212;0;1;4.5692;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.679;0.679;0.574;0.573;0.728;1.569;0.338;1;0.944;0.37;0.999;0.37;0.428;0.651;0.757;0;2;3.5638;0.00068;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.323;0.323;0.721;0.721;0.344;0.891;0.133;0.976;1;0.25;0.25;1;0.469;0.257;0.323;1;2;0.00009;2.5721;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.181;0.179;0.587;0.583;0.215;0.184;0.251;0.995;0.909;0.322;0.969;0.325;0.429;0.179;0.216;0;1;5.2168;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.681;0.681;0.566;0.566;0.73;1.44;0.37;1;0.945;0.391;1;0.391;0.423;0.65;0.758;0;2;3.8828;0.00061;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.334;0.332;0.732;0.741;0.355;0.819;0.154;0.978;1;0.253;0.253;0.998;0.472;0.261;0.335;1;2;0.00009;2.7469;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.671;0.671;0.553;0.553;0.724;0.142;3.679;0.999;1;0.995;0.995;1;0.428;0.665;0.681;0;1;0.00111;0.00006;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.694;0.694;0.648;0.648;0.741;2.057;0.267;1;0.967;0.357;1;0.357;0.438;0.69;0.7;0;2;3.54;0.00077;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.776;0.776;0.723;0.723;0.805;10.436;0.062;1;0.981;0.276;1;0.276;0.476;0.714;0.782;1;2;0.18836;0.00077;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.684;0.684;0.554;0.554;0.735;0.151;3.575;0.947;1;0.78;0.78;1;0.431;0.679;0.691;0;1;0.0014;0.00443;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.706;0.706;0.651;0.651;0.751;1.864;0.303;1;0.965;0.357;1;0.357;0.438;0.7;0.706;0;2;3.1799;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.797;0.797;0.723;0.723;0.824;9.216;0.074;1;0.981;0.276;1;0.276;0.479;0.73;0.802;1;2;0.18359;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.285;0.284;0.419;0.414;0.334;0.296;0.377;0.996;0.889;0.426;0.989;0.428;0.364;0.162;0.294;0;1;3.0519;0.00006;0;0;-;-;No Fluorophore;No Feed
