Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.112;0.112;0.371;0.371;0.255;0.206;0;1;1;1;1;1;0.268;0.107;0.114;0;1;0.00146;0.00038;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.733;0.733;0.677;0.677;0.825;0.748;1;0.995;1;0.985;0.985;1;0.396;0.656;0.74;0;2;0.00146;0.00082;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.293;0.293;0.7;0.7;0.382;0.429;0;1;1;1;1;1;0.316;0.191;0.293;1;2;0.00038;0.00082;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.11;0.11;0.369;0.369;0.259;0.211;0.318;1;1;1;1;1;0.27;0.107;0.112;0;1;0.00145;0.00038;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.734;0.734;0.694;0.694;0.824;0.714;1;1;1;1;1;1;0.395;0.657;0.743;0;2;0.00145;0.00084;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.299;0.299;0.715;0.715;0.389;0.414;0;1;1;1;1;1;0.317;0.192;0.299;1;2;0.00038;0.00084;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.203;0.203;0.288;0.288;0.318;0;0;1;1;1;1;1;0.277;0.185;0.207;0;1;0.00136;0.00035;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.756;0.756;0.67;0.67;0.814;1;1;1;1;1;1;1;0.418;0.603;0.761;0;2;0.00136;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.265;0.265;0.644;0.644;0.35;0;0;1;1;1;1;1;0.316;0.176;0.266;1;2;0.00035;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.204;0.204;0.303;0.303;0.319;0.238;0;1;1;1;1;1;0.283;0.192;0.21;0;1;0.00135;0.00036;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.757;0.757;0.581;0.581;0.816;0.674;1;1;1;1;1;1;0.417;0.602;0.76;0;2;0.00135;0.00067;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.277;0.277;0.732;0.732;0.361;0.4;0;1;1;1;1;1;0.322;0.182;0.278;1;2;0.00036;0.00067;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.223;0.223;0.369;0.369;0.337;0.235;0;1;1;1;1;1;0.277;0.206;0.276;0;1;0.00154;0.00035;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.73;0.73;0.705;0.705;0.817;0.635;1;1;1;1;1;1;0.396;0.669;0.745;0;2;0.00154;0.00077;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.297;0.296;0.688;0.685;0.385;0.431;0;1;1;1;1;1;0.318;0.2;0.297;1;2;0.00035;0.00077;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.225;0.225;0.375;0.375;0.34;0.241;0;1;1;1;1;1;0.283;0.207;0.278;0;1;0.00152;0.00035;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.726;0.726;0.747;0.747;0.815;0.595;1;1;1;1;1;1;0.396;0.672;0.743;0;2;0.00152;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.303;0.303;0.635;0.632;0.393;0.405;0;1;1;1;1;1;0.322;0.203;0.303;1;2;0.00035;0.00071;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.199;0.199;0.394;0.394;0.293;0;0.405;1;1;0.99;1;1;0.267;0.15;0.199;0;1;0.0012;0.00029;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.767;0.767;0.565;0.565;0.815;1;0.761;1;1;1;1;1;0.407;0.611;0.767;0;2;0.0012;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.26;0.26;0.593;0.593;0.328;0;0.222;1;1;0.99;1;0.99;0.321;0.181;0.26;1;2;0.00029;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.208;0.208;0.402;0.402;0.302;0;0.41;1;1;1;1;1;0.273;0.151;0.209;0;1;0.00118;0.0003;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.767;0.767;0.566;0.566;0.818;1;0.857;1;1;1;1;1;0.409;0.613;0.767;0;2;0.00118;0.00065;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.276;0.276;0.637;0.637;0.344;0;0.266;1;1;1;1;1;0.327;0.187;0.276;1;2;0.0003;0.00065;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.244;0.244;0.375;0.375;0.371;0;0.733;1;1;1;1;1;0.265;0.185;0.262;0;1;0.0011;0.00023;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.741;0.741;0.646;0.646;0.794;1;0.69;1;1;1;1;1;0.384;0.569;0.741;0;2;0.0011;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.291;0.291;0.692;0.692;0.383;1;0.168;1;1;1;1;1;0.334;0.15;0.294;1;2;0.00023;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.248;0.248;0.383;0.383;0.374;0.191;0.733;1;1;1;1;1;0.266;0.187;0.262;0;1;0.00109;0.00023;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.739;0.739;0.601;0.601;0.793;0.825;0.763;1;1;1;1;1;0.382;0.574;0.74;0;2;0.00109;0.00063;0;0;-;-;No Fluorophore;No Feed
