Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;;;;;;
Negative Control;Blue/Green;0;0.097;0.097;0.544;0.544;0.212;0.237;0;1;1;0.403;1;0;0.287;0.092;0.1;0;1;16.338;0.00038;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.73;0.73;0.7;0.7;0.818;0.818;1;1;1;0.683;1;1;0.398;0.652;0.737;0;2;4.9456;0.00082;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.293;0.293;0.643;0.643;0.376;0.346;0;1;1;0;0;1;0.325;0.181;0.293;1;2;0.00038;10.378;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.096;0.096;0.544;0.544;0.214;0.246;0.187;1;0.628;0.4;1;0.4;0.29;0.092;0.098;0;1;16.788;0.00038;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.731;0.731;0.712;0.712;0.818;0.785;1;1;1;1;1;1;0.397;0.653;0.74;0;2;5.1531;0.00084;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.3;0.3;0.645;0.645;0.384;0.333;0;1;1;0;0;1;0.326;0.181;0.3;1;2;0.00038;10.184;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.146;0.053;0.503;0.01;0.198;0;0;1;1;0.458;1;1;0.3;0.141;0.163;0;1;19.397;6.0118;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.755;0.749;0.668;0.651;0.813;1;1;1;1;0.589;1;1;0.426;0.599;0.76;0;2;6.7122;0.00074;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.261;0.261;0.594;0.594;0.344;0;0;1;1;0.329;0;1;0.319;0.17;0.263;1;2;0.00035;3.8387;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.204;0.204;0.303;0.303;0.319;0.238;0;1;1;1;1;1;0.283;0.192;0.21;0;1;0.00135;0.00036;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.757;0.757;0.592;0.592;0.816;0.753;1;1;1;1;1;1;0.423;0.599;0.76;0;2;6.1999;0.00067;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.27;0.268;0.612;0.61;0.351;0.35;0;1;1;0;0;1;0.327;0.172;0.271;1;2;0.00036;6.139;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.176;0.1;0.539;0.045;0.224;0.217;0;1;1;1;1;1;0.278;0.163;0.242;0;1;21.574;5.9046;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.728;0.727;0.71;0.706;0.812;0.68;1;1;1;1;1;1;0.398;0.666;0.744;0;2;4.2274;0.00077;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.295;0.295;0.631;0.631;0.378;0.356;0;1;1;0;0;1;0.323;0.188;0.295;1;2;0.00035;8.9158;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.225;0.225;0.375;0.375;0.34;0.241;0;1;1;1;1;1;0.283;0.207;0.278;0;1;0.00152;0.00035;0;0;-;-;No Fluorophore;No Feed;;;;;;
