Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Microcystis aeruginosa Negative Control;Blue/Green;0;0.498;0.498;0.379;0.379;0.532;0.121;2;1;1;0.999;0.999;1;0.453;0.298;0.513;0;1;0.001;0.00006;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Red;0;0.803;0.803;0.417;0.417;0.827;0.459;1;1;1;1;1;1;0.46;0.502;0.816;0;2;0.001;0.00119;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Green/Red;0;0.518;0.518;0.423;0.423;0.549;1.34;0;1;1;0.999;1;1;0.477;0.3;0.519;1;2;0.00006;0.00119;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Green;0;0.522;0.522;0.396;0.396;0.555;0.127;2;1;1;1;1;1;0.456;0.31;0.536;0;1;0.00077;0.00006;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Red;0;0.816;0.816;0.38;0.38;0.841;0.361;2;1;1;1;1;1;0.46;0.512;0.831;0;2;0.00077;0.00512;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Green/Red;0;0.549;0.549;0.413;0.413;0.579;1.083;0;1;1;1;1;1;0.48;0.324;0.551;1;2;0.00006;0.00512;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Green;0;0.473;0.473;0.778;0.778;0.688;0;4;1;1;0.999;1;1;0.33;0.179;0.473;0;1;0.03181;0.0001;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Red;0;0.615;0.615;0.718;0.718;0.831;0;1;1;1;1;1;1;0.316;0.108;0.63;0;2;0.03181;0.00809;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Green/Red;0;0.491;0.491;0.846;0.846;0.695;2;0;1;1;0.999;1;1;0.374;0.119;0.491;1;2;0.0001;0.00809;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Green;0;0.505;0.505;0.798;0.798;0.7;0.134;4;1;1;1;1;1;0.354;0.209;0.506;0;1;0.04478;0.0001;0;0;-;-;No Fluorophore;No Feed
