Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Microcystis aeruginosa Negative Control;Blue/Green;0;0.41;0.41;0.809;0.809;0.518;0.117;2.302;0.93;1;0.528;0.528;1;0.397;0.174;0.425;0;1;0.00145;0.29434;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Red;0;0.732;0.732;0.833;0.833;0.825;0.451;1.51;0.953;1;0.576;0.576;1;0.4;0.345;0.747;0;2;0.00145;0.65595;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Green/Red;0;0.44;0.44;0.87;0.87;0.543;1.335;0.221;1;0.989;0.647;1;0.647;0.441;0.18;0.441;1;2;0.11418;0.00119;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Green;0;0.44;0.44;0.812;0.812;0.557;0.128;2.414;1;1;1;1;1;0.401;0.178;0.453;0;1;0.01473;0.00006;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Red;0;0.751;0.751;0.807;0.807;0.843;0.364;1.956;1;1;1;1;1;0.399;0.343;0.767;0;2;0.01473;0.00512;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Green/Red;0;0.473;0.473;0.866;0.866;0.579;1.083;0.31;1;1;1;1;1;0.445;0.192;0.474;1;2;0.00006;0.00512;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Green;0;0.473;0.473;0.778;0.778;0.688;0.126;3.764;1;1;0.999;0.999;1;0.33;0.179;0.474;0;1;0.03181;0.0001;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Red;0;0.615;0.615;0.718;0.718;0.831;0.465;1.485;1;1;1;1;1;0.316;0.108;0.63;0;2;0.03181;0.00809;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Green/Red;0;0.492;0.492;0.846;0.846;0.695;2.127;0.227;1;1;0.999;1;0.999;0.374;0.119;0.492;1;2;0.0001;0.00809;0;0;-;-;No Fluorophore;No Feed
Microcystis aeruginosa Negative Control;Blue/Green;0;0.487;0.487;0.79;0.79;0.672;0.122;3.684;0.923;1;0.633;0.633;1;0.35;0.204;0.488;0;1;0.04478;0.62609;0;0;-;-;No Fluorophore;No Feed
