Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
371-1 Negative Control;Blue/Green;0;0.825;0.825;0.595;0.595;0.852;0.097;7;0.992;1;0.921;0.921;1;0.445;0.678;0.879;0;1;0.00164;0.00012;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.799;0.799;0.623;0.623;0.826;0.367;2;1;1;1;1;1;0.446;0.644;0.86;0;2;0.00164;0.00049;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.874;0.874;0.641;0.641;0.89;3.468;0;1;1;1;1;1;0.471;0.754;0.875;1;2;0.00012;0.00049;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.822;0.822;0.583;0.583;0.85;0.108;6.706;1;1;1;1;1;0.443;0.677;0.877;0;1;0.00157;0.00012;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.805;0.805;0.576;0.576;0.834;0.283;2;1;1;1;1;1;0.446;0.649;0.87;0;2;0.00157;0.00038;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.889;0.889;0.645;0.645;0.904;2.421;0;1;1;1;1;1;0.472;0.757;0.89;1;2;0.00012;0.00038;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.855;0.855;0.6;0.6;0.876;0;7;1;1;1;1;1;0.454;0.572;0.919;0;1;0.0016;0.00012;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.815;0.815;0.64;0.64;0.838;1;1;1;1;1;1;1;0.453;0.531;0.881;0;2;0.0016;0.00053;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.9;0.9;0.665;0.665;0.912;4;0;1;1;1;1;1;0.478;0.619;0.9;1;2;0.00012;0.00053;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.853;0.853;0.626;0.626;0.874;0.122;6;1;1;1;1;1;0.453;0.567;0.917;0;1;0.00157;0.00013;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.825;0.825;0.687;0.687;0.847;0.42;2;1;1;1;1;1;0.452;0.534;0.893;0;2;0.00157;0.00043;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.914;0.914;0.744;0.744;0.924;3.295;0;1;1;1;1;1;0.479;0.626;0.914;1;2;0.00013;0.00043;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.829;0.829;0.626;0.626;0.854;0.096;8;1;1;1;1;1;0.45;0.441;0.909;0;1;0.00175;0.00012;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.842;0.842;0.682;0.682;0.864;0.529;1;1;1;1;1;1;0.454;0.432;0.907;0;2;0.00175;0.00063;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.911;0.911;0.685;0.685;0.922;5.038;0;1;1;1;1;1;0.477;0.481;0.911;1;2;0.00012;0.00063;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.831;0.831;0.616;0.616;0.856;0.101;7;1;1;1;1;1;0.448;0.441;0.908;0;1;0.00279;0.00012;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.841;0.841;0.656;0.656;0.863;0.45;2;1;1;1;1;1;0.453;0.432;0.906;0;2;0.00279;0.00052;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.912;0.912;0.67;0.67;0.924;4.071;0;1;1;1;1;1;0.477;0.485;0.912;1;2;0.00012;0.00052;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.839;0.839;0.457;0.457;0.854;0;8.59;1;1;0.969;1;1;0.457;0.441;0.908;0;1;0.00295;0.00007;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.767;0.767;0.499;0.499;0.784;0;1.843;1;1;0.933;1;1;0.457;0.385;0.83;0;2;0.00295;0.00028;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.871;0.871;0.568;0.565;0.88;4;0.206;1;1;0.909;1;0.971;0.485;0.473;0.871;1;2;0.00007;0.00028;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.839;0.839;0.457;0.457;0.853;0;7.931;1;1;0.971;1;1;0.458;0.443;0.907;0;1;0.00502;0.00007;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.791;0.791;0.477;0.477;0.807;0;2.187;1;1;1;1;1;0.459;0.397;0.854;0;2;0.00502;0.00025;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.893;0.893;0.526;0.526;0.901;3;0.262;1;1;0.971;1;0.971;0.486;0.484;0.893;1;2;0.00007;0.00025;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.844;0.844;0.528;0.528;0.863;0;7.326;1;1;0.998;1;1;0.453;0.448;0.912;0;1;0.00373;0.00007;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.819;0.819;0.551;0.551;0.839;0;3.038;1;1;0.993;1;1;0.454;0.421;0.886;0;2;0.00373;0.00021;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.921;0.921;0.589;0.589;0.929;2;0.396;1;1;0.992;1;0.999;0.48;0.528;0.921;1;2;0.00007;0.00021;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.844;0.844;0.515;0.515;0.862;0.113;6.571;1;1;0.998;0.998;1;0.451;0.448;0.91;0;1;0.00333;0.00007;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.814;0.814;0.519;0.519;0.834;0.198;3.502;0.992;1;0.95;0.95;1;0.452;0.417;0.881;0;2;0.00333;0.00017;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.923;0.923;0.615;0.615;0.931;1.689;0.513;0.999;1;0.948;0.95;0.998;0.482;0.521;0.923;1;2;0.00007;0.00017;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.853;0.853;0.532;0.532;0.882;0.097;8.057;0.998;1;0.986;0.986;1;0.397;0.425;0.886;0;1;0.00621;0.00011;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.905;0.905;0.629;0.629;0.918;0.505;1.67;0.998;1;0.978;0.978;1;0.461;0.469;0.921;0;2;0.00621;0.00049;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.884;0.884;0.728;0.728;0.901;4.525;0.179;0.999;1;0.965;0.978;0.987;0.415;0.468;0.885;1;2;0.00011;0.00049;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.85;0.85;0.534;0.534;0.88;0.109;7.113;1;1;1;1;1;0.397;0.426;0.883;0;1;0.00754;0.00012;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.9;0.9;0.618;0.618;0.915;0.371;2.258;1;1;0.997;0.997;1;0.46;0.467;0.917;0;2;0.00754;0.00035;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.893;0.893;0.74;0.74;0.909;2.978;0.277;1;1;0.997;0.997;1;0.416;0.467;0.894;1;2;0.00012;0.00035;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.571;0.571;0.494;0.494;0.686;0.076;6.159;1;1;0.999;1;0.999;0.319;0.285;0.604;0;1;0.00141;0.00016;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.87;0.87;0.387;0.387;0.88;0.294;2.636;1;1;0.999;1;0.999;0.44;0.455;0.9;0;2;0.00141;0.00036;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.609;0.609;0.674;0.674;0.671;2.014;0.224;1;1;1;1;1;0.357;0.338;0.609;1;2;0.00016;0.00036;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.588;0.588;0.495;0.495;0.701;0.086;5.694;1;1;1;1;1;0.312;0.296;0.621;0;1;0.00132;0.00016;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.871;0.871;0.506;0.506;0.882;0.214;3.623;1;1;1;1;1;0.436;0.462;0.901;0;2;0.00132;0.00027;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.635;0.635;0.783;0.783;0.694;1.373;0.351;1;1;1;1;1;0.353;0.35;0.635;1;2;0.00016;0.00027;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.507;0.507;0.457;0.457;0.639;0.09;4.546;1;1;1;1;1;0.371;0.296;0.514;0;1;0.0017;0.00017;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.865;0.865;0.661;0.661;0.89;0.479;1.656;1;1;1;1;1;0.46;0.595;0.865;0;2;0.0017;0.00066;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.566;0.566;0.82;0.82;0.658;2.521;0.172;1;1;1;1;1;0.394;0.322;0.569;1;2;0.00017;0.00066;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.523;0.523;0.453;0.453;0.651;0.103;4.114;1;1;1;1;1;0.371;0.308;0.529;0;1;0.00158;0.00017;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.868;0.868;0.641;0.641;0.893;0.351;2.27;0.999;1;0.995;0.995;1;0.458;0.593;0.868;0;2;0.00158;0.0005;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.594;0.594;0.836;0.836;0.682;1.693;0.274;1;1;0.995;0.995;1;0.397;0.336;0.597;1;2;0.00017;0.0005;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.877;0.877;0.588;0.588;0.9;0.072;11.282;1;1;1;1;1;0.454;0.467;0.903;0;1;0.00192;0.00011;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.912;0.912;0.729;0.729;0.927;0.375;2.29;0.999;1;0.978;0.978;1;0.466;0.51;0.921;0;2;0.00192;0.00054;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.9;0.9;0.641;0.641;0.917;4.655;0.181;1;1;0.978;0.978;1;0.467;0.486;0.901;1;2;0.00011;0.00054;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.875;0.875;0.595;0.595;0.898;0.08;10.117;1;1;1;1;1;0.455;0.465;0.902;0;1;0.00182;0.00011;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Red;0;0.907;0.907;0.701;0.701;0.924;0.269;3.173;1;1;1;1;1;0.466;0.502;0.918;0;2;0.00182;0.00038;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Green/Red;0;0.903;0.903;0.651;0.651;0.92;3.019;0.28;1;1;1;1;1;0.469;0.482;0.905;1;2;0.00011;0.00038;0;0;-;-;No Fluorophore;No Feed
371-1 Negative Control;Blue/Green;0;0.873;0.873;0.721;0.721;0.9;0.099;8.154;1;1;0.996;0.996;1;0.452;0.54;0.883;0;1;0.00206;0.00013;0;0;-;-;No Fluorophore;No Feed
