Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;Slide;Series
Negative Control;Blue/Green;0;0.853;0.853;0.659;0.659;0.882;0;7.434;1;1;0.997;1;1;0.44;0.487;0.911;0;1;0.00922;0.00014;0;0;-;-;No Fluorophore;No Feed;1a bis;1
Negative Control;Blue/Red;0;0.85;0.828;0.745;0.737;0.877;0;2.209;1;0.996;0.572;1;0.713;0.443;0.482;0.908;0;2;3.1896;0.26449;0;0;-;-;No Fluorophore;No Feed;1a bis;1
Negative Control;Green/Red;0;0.91;0.91;0.711;0.711;0.926;3;0;1;1;0;1;0.38;0.481;0.571;0.91;1;2;0.24327;0.00044;0;0;-;-;No Fluorophore;No Feed;1a bis;1
Negative Control;Blue/Green;0;0.855;0.855;0.655;0.655;0.882;0.115;6.75;0.999;1;0.995;0.995;1;0.445;0.487;0.912;0;2;1.9183;0.00038;0;0;-;-;No Fluorophore;No Feed;1a bis;2
Negative Control;Blue/Red;0;0.866;0.866;0.696;0.696;0.891;0;3;1;1;1;1;0.532;0.448;0.493;0.925;0;2;3.429;0.00038;0;0;-;-;No Fluorophore;No Feed;1a bis;2
Negative Control;Green/Red;0;0.927;0.927;0.754;0.754;0.94;2;0;1;1;0;1;0.465;0.481;0.58;0.927;1;2;0.09805;0.00038;0;0;-;-;No Fluorophore;No Feed;1a bis;2
Negative Control;Blue/Green;0;0.91;0.91;0.631;0.631;1;0;7;1;1;1;1;1;0.461;0.583;0.918;0;1;0.01935;0.00018;0;0;-;-;No Fluorophore;No Feed;1a bis;3
Negative Control;Blue/Red;0;0.923;0.923;0.759;0.759;1;1;1;1;0.996;0;1;0.462;0.465;0.628;0.923;0;2;5.1263;0.00078;0;0;-;-;No Fluorophore;No Feed;1a bis;3
Negative Control;Green/Red;0;0.892;0.892;0.761;0.761;1;4;0;1;0.989;0;1;0.364;0.465;0.551;0.895;1;2;0.53009;0.00078;0;0;-;-;No Fluorophore;No Feed;1a bis;3
Negative Control;Blue/Green;0;0.907;0.907;0.664;0.664;0.926;0;6;1;1;1;1;1;0.46;0.58;0.915;0;2;3.3313;0.00053;0;0;-;-;No Fluorophore;No Feed;1a bis;4
Negative Control;Blue/Red;0;0.92;0.92;0.769;0.769;0.936;0;2;1;1;0;1;0.424;0.468;0.622;0.92;0;2;4.3176;0.00053;0;0;-;-;No Fluorophore;No Feed;1a bis;4
Negative Control;Green/Red;0;0.897;0.897;0.785;0.785;0.917;3;0;1;1;0;1;0.368;0.469;0.548;0.901;1;2;0.45744;0.00053;0;0;-;-;No Fluorophore;No Feed;1a bis;4
Negative Control;Blue/Green;0;0.92;0.92;0.516;0.516;0.929;0;8;1;1;1;1;1;0.463;0.642;0.925;0;1;0.00599;0.00009;0;0;-;-;No Fluorophore;No Feed;1a bis;5
Negative Control;Blue/Red;0;0.938;0.938;0.599;0.599;0.945;1;1;1;1;0;1;0.447;0.472;0.677;0.938;0;2;3.002;0.00054;0;0;-;-;No Fluorophore;No Feed;1a bis;5
Negative Control;Green/Red;0;0.929;0.929;0.625;0.625;0.937;6;0;1;1;0;1;0.372;0.479;0.633;0.932;1;2;0.14805;0.00054;0;0;-;-;No Fluorophore;No Feed;1a bis;5
Negative Control;Blue/Green;0;0.917;0.899;0.689;0.676;0.926;0;7;1;1;1;1;0.751;0.467;0.637;0.923;0;1;3.6271;0.28033;0;0;-;-;No Fluorophore;No Feed;1a bis;6
Negative Control;Blue/Red;0;0.929;0.929;0.605;0.605;0.937;1;2;1;1;0;1;0.479;0.472;0.664;0.929;0;2;2.4274;0.00041;0;0;-;-;No Fluorophore;No Feed;1a bis;6
Negative Control;Green/Red;0;0.93;0.93;0.667;0.667;0.938;4;0;1;1;0;1;0.361;0.48;0.633;0.932;1;2;0.1654;0.00041;0;0;-;-;No Fluorophore;No Feed;1a bis;6
Negative Control;Blue/Green;0;0.917;0.917;0.691;0.691;1;0.106;8;1;0.991;1;1;0.638;0.467;0.588;0.924;0;1;1.7408;0.00015;0;0;-;-;No Fluorophore;No Feed;1a bis;7
Negative Control;Blue/Red;0;0.932;0.932;0.743;0.743;1;0.561;2;1;0.995;0;1;0.434;0.473;0.639;0.932;0;2;3.2716;0.00072;0;0;-;-;No Fluorophore;No Feed;1a bis;7
Negative Control;Green/Red;0;0.915;0.915;0.756;0.756;1;4.856;0;1;0.99;0;1;0.337;0.477;0.583;0.919;1;2;0.24348;0.00072;0;0;-;-;No Fluorophore;No Feed;1a bis;7
Negative Control;Blue/Green;0;0.917;0.916;0.682;0.68;1;0.118;7;1;0.992;1;0.994;0.637;0.468;0.588;0.923;0;1;2.7347;0.00015;0;0;-;-;No Fluorophore;No Feed;1a bis;8
Negative Control;Blue/Red;0;0.933;0.933;0.728;0.728;1;0.404;2;1;0.997;1;1;0.502;0.473;0.637;0.933;0;2;3.8928;0.0005;0;0;-;-;No Fluorophore;No Feed;1a bis;8
Negative Control;Green/Red;0;0.92;0.92;0.762;0.762;1;3.166;0;1;0.992;0;1;0.336;0.478;0.585;0.923;1;2;0.22728;0.0005;0;0;-;-;No Fluorophore;No Feed;1a bis;8
Negative Control;Blue/Green;0;0.898;0.898;0.618;0.617;1;0.083;10;1;0.987;1;0.997;0.613;0.458;0.466;0.921;0;1;2.2157;0.00009;0;0;-;-;No Fluorophore;No Feed;1a bis;9
Negative Control;Blue/Red;0;0.922;0.922;0.664;0.663;1;0.43;2;1;0.99;0;0.998;0.491;0.469;0.505;0.929;0;2;3.0371;0.00046;0;0;-;-;No Fluorophore;No Feed;1a bis;9
Negative Control;Green/Red;0;0.92;0.92;0.674;0.674;1;4.738;0;1;0.985;0;1;0.363;0.478;0.482;0.921;1;2;0.10867;0.00046;0;0;-;-;No Fluorophore;No Feed;1a bis;9
Negative Control;Blue/Green;0;0.898;0.898;0.591;0.591;0.912;0.09;9.196;1;1;0.996;0.996;1;0.458;0.466;0.92;0;1;0.00667;0.00009;0;0;-;-;No Fluorophore;No Feed;1a bis;10
Negative Control;Blue/Red;0;0.926;0.921;0.667;0.659;0.937;0.338;2.6;0.994;0.985;0.453;0.855;0.491;0.47;0.504;0.934;0;2;3.5073;0.16986;0;0;-;-;No Fluorophore;No Feed;1a bis;10
Negative Control;Green/Red;0;0.924;0.924;0.635;0.635;0.934;3.316;0.263;1;0.976;0.46;1;0.46;0.478;0.487;0.925;1;2;0.05528;0.00034;0;0;-;-;No Fluorophore;No Feed;1a bis;10
Negative Control;Blue/Green;0;0.892;0.892;0.633;0.633;0.91;0.108;7.664;1;1;1;1;1;0.45;0.849;0.91;0;1;0.02227;0.00011;0;0;-;-;No Fluorophore;No Feed;1a bis;11
Negative Control;Blue/Red;0;0.887;0.887;0.681;0.68;0.907;0.606;1.355;1;0.99;0.479;0.999;0.479;0.451;0.839;0.924;0;2;3.9413;0.00059;0;0;-;-;No Fluorophore;No Feed;1a bis;11
Negative Control;Green/Red;0;0.919;0.919;0.75;0.75;0.932;5.086;0.171;1;0.988;0.373;1;0.373;0.473;0.879;0.928;1;2;0.1436;0.00059;0;0;-;-;No Fluorophore;No Feed;1a bis;11
Negative Control;Blue/Green;0;0.89;0.867;0.748;0.753;0.909;0.127;6.518;0.963;0.994;0.543;0.596;0.859;0.452;0.848;0.907;0;1;3.3146;0.19706;0;0;-;-;No Fluorophore;No Feed;1a bis;12
Negative Control;Blue/Red;0;0.886;0.886;0.653;0.653;0.906;0.44;1.865;1;0.992;0.625;1;0.625;0.45;0.838;0.923;0;2;2.2938;0.0004;0;0;-;-;No Fluorophore;No Feed;1a bis;12
Negative Control;Green/Red;0;0.928;0.928;0.751;0.751;0.94;3.299;0.268;1;0.987;0.389;1;0.389;0.476;0.885;0.935;1;2;0.12619;0.0004;0;0;-;-;No Fluorophore;No Feed;1a bis;12
Negative Control;Blue/Green;0;0.893;0.865;0.757;0.793;0.912;0.112;7.416;0.937;0.997;0.513;0.54;0.912;0.458;0.872;0.893;0;1;10.427;0.31179;0;0;-;-;No Fluorophore;No Feed;1a bis;13
Negative Control;Blue/Red;0;0.904;0.904;0.65;0.65;0.922;0.646;1.317;1;0.993;0.577;1;0.577;0.452;0.893;0;0;2;8.6943;0.00063;0;0;-;-;No Fluorophore;No Feed;1a bis;13
Negative Control;Green/Red;0;0.92;0.92;0.76;0.76;0.934;5.343;0.163;1;0.99;0.355;1;0.355;0.477;0.919;0.923;1;2;0.12856;0.00063;0;0;-;-;No Fluorophore;No Feed;1a bis;13
Negative Control;Blue/Green;0;0.887;0.858;0.752;0.786;0.907;0.127;6.472;0.935;0.996;0.508;0.535;0.91;0.458;0.87;0.889;0;1;9.4867;0.35199;0;0;-;-;No Fluorophore;No Feed;1a bis;14
Negative Control;Blue/Red;0;0.9;0.9;0.647;0.647;0.92;0.46;1.84;1;0.99;0.627;1;0.627;0.451;0.888;0;0;2;7.2354;0.00291;0;0;-;-;No Fluorophore;No Feed;1a bis;14
