Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.189;-0.041;0.326;-0.167;0.39;0.112;1;0.69;1;0.45;0.648;1;0.17;-0.011;0.189;0;1;9.0446;3.3283;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.302;0.059;0.476;0.009;0.517;0.476;1;0.835;1;0.596;0.761;1;0.195;0.093;0.309;0;2;6.5658;6.3781;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.617;0.617;0.724;0.724;0.79;2.898;0;1;1;1;1;1;0.294;0.062;0.617;1;2;1.3952;0.00972;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.157;-0.064;0.293;-0.197;0.358;0.107;1.205;0.671;0.581;0.429;0.639;0.566;0.163;-0.041;0.157;0;1;9.5308;3.5752;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.247;0.008;0.412;-0.061;0.474;0.397;1;1;1;1;1;1;0.171;0.074;0.249;0;2;6.8546;6.7326;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.603;0.603;0.707;0.707;0.788;2.636;0;1;1;1;1;1;0.284;0.02;0.603;1;2;1.4615;0.00281;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.355;0.124;0.513;0.116;0.552;0;2;1;1;0.573;1;1;0.229;0.072;0.371;0;1;8.0328;3.06;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.294;0.04;0.443;-0.031;0.507;1;0;1;1;0.554;1;1;0.187;-0.003;0.313;0;2;8.8012;7.9161;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.778;0.778;0.854;0.854;0.886;3;0;1;1;0.749;1;1;0.38;0.256;0.778;1;2;0.69841;0.0034;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.46;0.242;0.568;0.208;0.607;0.221;2;1;1;1;1;1;0.279;0.049;0.475;0;1;7.3926;2.4877;0;0;-;-;No Fluorophore;No Feed
