Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.548;0.548;0.53;0.53;0.596;0.098;3.64;0.998;1;0.987;0.987;1;0.439;0.253;0.583;0;1;0.00547;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.846;0.846;0.6;0.6;0.869;0.713;1.059;1;1;1;1;1;0.451;0.428;0.893;0;2;0.00547;0.00043;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.614;0.614;0.693;0.693;0.651;3.263;0.13;1;1;0.987;1;0.987;0.466;0.319;0.614;1;2;0.00007;0.00043;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.563;0.563;0.54;0.54;0.611;0.104;3.592;0.997;1;0.985;0.985;1;0.439;0.265;0.601;0;1;0.00802;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.851;0.851;0.562;0.562;0.874;0.58;1.318;1;1;1;1;1;0.448;0.434;0.897;0;2;0.00802;0.00035;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.632;0.632;0.557;0.557;0.669;2.61;0.172;1;1;0.985;1;0.985;0.467;0.335;0.633;1;2;0.00007;0.00035;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.534;0.534;0.509;0.509;0.592;0.083;4.197;0.998;1;0.991;0.991;1;0.427;0.276;0.555;0;1;0.00566;0.00007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.859;0.859;0.605;0.605;0.883;0.824;0.946;0.999;1;0.994;0.994;1;0.454;0.44;0.891;0;2;0.00566;0.00059;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.571;0.571;0.58;0.58;0.62;4.106;0.094;0.999;1;0.987;0.995;0.992;0.452;0.327;0.571;1;2;0.00007;0.00059;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.55;0.55;0.529;0.529;0.607;0.09;4.107;0.998;1;0.989;0.989;1;0.43;0.281;0.568;0;1;0.00514;0.00007;0;0;-;-;No Fluorophore;No Feed
