Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.547;0.547;0.547;0.547;0.594;0.097;3.635;0.918;1;0.56;0.56;1;0.439;0;1;0.00547;0.03784;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.846;0.846;0.622;0.622;0.869;0.738;1.023;1;0.99;0.524;1;0.524;0.452;0;2;1.9839;0.00043;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.609;0.609;0.685;0.685;0.644;3.259;0.127;1;0.984;0.371;1;0.371;0.467;1;2;0.14763;0.00043;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.563;0.563;0.546;0.546;0.61;0.104;3.59;0.937;1;0.668;0.668;1;0.439;0;1;0.00802;0.01408;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.851;0.851;0.562;0.562;0.874;0.58;1.318;1;1;1;1;1;0.448;0;2;0.00802;0.00035;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.63;0.629;0.616;0.614;0.665;2.61;0.169;1;0.978;0.417;0.998;0.418;0.468;1;2;0.0976;0.00035;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.532;0.532;0.525;0.525;0.588;0.082;4.186;0.908;1;0.558;0.558;1;0.428;0;1;0.00566;0.06188;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.859;0.859;0.636;0.634;0.883;0.864;0.902;1;0.981;0.503;0.997;0.504;0.455;0;2;2.993;0.0006;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.563;0.563;0.616;0.615;0.607;4.09;0.09;1;0.967;0.379;0.998;0.379;0.455;1;2;0.24887;0.0006;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.549;0.549;0.542;0.542;0.604;0.089;4.101;0.919;1;0.598;0.598;1;0.43;0;1;0.00514;0.04084;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.87;0.87;0.618;0.618;0.893;0.744;1.071;1;0.981;0.565;0.999;0.566;0.454;0;2;2.4426;0.00051;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.585;0.585;0.636;0.636;0.628;3.453;0.114;1;0.967;0.393;1;0.393;0.457;1;2;0.2071;0.00051;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.225;0.067;0.658;0.256;0.27;0.065;1.128;0.896;0.76;0.532;0.78;0.627;0.385;0;1;36.021;2.7662;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.856;0.856;0.544;0.544;0.881;0.657;1.182;1;0.979;0.585;1;0.585;0.443;0;2;9.0046;0.00067;0;0;-;;;;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.333;0.333;0.681;0.681;0.39;1.568;0.097;1;0.953;0.33;1;0.33;0.389;1;2;0.86024;0.00067;0;0;-;;;;No Fluorophore;No Feed
