Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.275;0.275;0.568;0.568;0.371;0.237;1;0.997;1;0.989;0.989;1;0.371;0.226;0.275;0;1;0.00995;0.00014;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.705;0.705;0.611;0.611;0.783;1.564;0;1;1;1;1;1;0.421;0.498;0.71;0;2;0.00995;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.351;0.351;0.804;0.804;0.425;1.326;0;1;1;1;1;1;0.407;0.194;0.359;1;2;0.00014;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.288;0.288;0.587;0.587;0.381;0.251;0.578;1;1;1;1;1;0.382;0.24;0.292;0;1;0.00673;0.00014;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.716;0.716;0.601;0.601;0.791;1.342;0;1;1;1;1;1;0.424;0.505;0.721;0;2;0.00673;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.371;0.371;0.818;0.818;0.442;1.135;0;1;1;1;1;1;0.418;0.202;0.379;1;2;0.00014;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.196;0.196;0.551;0.551;0.242;0;0;1;1;0.954;1;1;0.383;0.143;0.199;0;1;0.00588;0.00015;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.708;0.708;0.55;0.55;0.772;1;0;1;1;0.983;1;1;0.412;0.528;0.711;0;2;0.00588;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.298;0.298;0.678;0.676;0.328;0;0;1;1;0.946;1;1;0.44;0.161;0.298;1;2;0.00015;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.191;0.191;0.54;0.54;0.24;0.347;0;1;1;1;1;1;0.379;0.144;0.196;0;1;0.01376;0.00016;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.7;0.7;0.533;0.533;0.767;1.181;0;1;1;1;1;1;0.404;0.515;0.705;0;2;0.01376;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.318;0.318;0.673;0.673;0.347;0.371;0;1;1;1;1;1;0.442;0.172;0.318;1;2;0.00016;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.248;0.248;0.66;0.66;0.309;0.222;0;1;1;1;1;1;0.411;0.23;0.249;0;1;0.00512;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.737;0.737;0.676;0.676;0.799;1.288;0;1;1;1;1;1;0.433;0.559;0.757;0;2;0.00512;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.301;0.301;0.747;0.747;0.351;0.787;0;1;1;1;1;1;0.447;0.248;0.302;1;2;0.00013;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.256;0.256;0.651;0.651;0.32;0.238;0;1;1;1;1;1;0.411;0.235;0.262;0;1;0.00422;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.737;0.737;0.669;0.669;0.8;1.068;1;1;1;1;1;1;0.43;0.555;0.757;0;2;0.00422;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.321;0.321;0.753;0.753;0.371;0.667;0;1;1;1;1;1;0.45;0.258;0.321;1;2;0.00013;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.351;0.351;0.614;0.614;0.416;0;1.356;1;1;0.995;1;1;0.393;0.227;0.354;0;1;0.00229;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.708;0.708;0.558;0.558;0.77;1;0.526;1;1;0.996;1;1;0.403;0.446;0.711;0;2;0.00229;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.44;0.44;0.717;0.716;0.489;2;0.102;1;1;0.993;1;0.996;0.467;0.24;0.442;1;2;0.00009;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.365;0.365;0.606;0.606;0.431;0;1.325;1;1;1;1;1;0.39;0.234;0.366;0;1;0.00347;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.713;0.713;0.549;0.549;0.773;1;0.615;1;1;1;1;1;0.399;0.444;0.715;0;2;0.00347;0.00064;0;0;-;-;No Fluorophore;No Feed
