Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding
Negative Control;Blue/Green;0;0.233;0.13;0.712;0.446;0.297;0.229;0;0.945;1;0.601;0.789;1;0.377;0.196;0.233;0;1;5.9387;1.2996;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.696;0.694;0.66;0.657;0.765;1.757;0;0.997;1;0.468;0.984;0;0.424;0.488;0.701;0;2;3.7476;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.339;0.337;0.793;0.793;0.403;1.277;0;1;1;0;1;0;0.408;0.184;0.347;1;2;0.55236;0.00079;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.288;0.288;0.587;0.587;0.381;0.251;0.578;1;1;1;1;1;0.382;0.24;0.292;0;1;0.00673;0.00014;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.692;0.692;0.694;0.694;0.757;1.579;0;1;1;0;1;0;0.427;0.482;0.697;0;2;5.5333;0.00068;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.365;0.365;0.813;0.813;0.43;1.114;0;1;1;1;1;1;0.418;0.197;0.373;1;2;0.31444;0.00068;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.183;0.181;0.641;0.643;0.224;0;0;1;1;0.278;1;0;0.41;0.133;0.187;0;1;8.0588;0.00015;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.703;0.703;0.61;0.61;0.762;2;0;1;1;0.455;1;0;0.422;0.523;0.706;0;2;4.1872;0.00063;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.297;0.295;0.732;0.74;0.327;0;0;1;1;0.259;0;1;0.445;0.152;0.297;1;2;0.00015;6.6125;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.177;0.176;0.625;0.626;0.22;0.44;0;1;1;0;1;0;0.409;0.135;0.185;0;1;8.2064;0.00016;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.696;0.695;0.59;0.586;0.757;1.385;0;1;1;0;1;0;0.415;0.511;0.7;0;2;4.2174;0.00055;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.318;0.317;0.724;0.731;0.348;0.323;0;1;1;0;0;1;0.448;0.161;0.318;1;2;0.00016;6.8205;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.24;0.24;0.721;0.721;0.297;0.252;0;1;1;0;1;0;0.415;0.222;0.242;0;1;5.2336;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.731;0.731;0.725;0.725;0.789;1.419;0;1;1;0;1;0;0.435;0.551;0.751;0;2;3.4466;0.00069;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.299;0.238;0.876;0.84;0.347;0.773;0;1;1;1;1;1;0.447;0.246;0.3;1;2;0.08639;0.55864;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.246;0.245;0.712;0.713;0.305;0.271;0;1;1;0;1;0;0.416;0.225;0.255;0;1;5.4089;0.00013;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.732;0.731;0.704;0.702;0.791;1.167;1;1;1;0;1;0;0.433;0.549;0.752;0;2;3.0608;0.00054;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.319;0.319;0.808;0.81;0.369;0.639;0;1;1;0;0;1;0.45;0.256;0.319;1;2;0.00013;1.737;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.351;0.351;0.612;0.612;0.416;0;1.246;1;1;0.783;1;0.783;0.396;0.227;0.354;0;1;2.9525;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.705;0.705;0.608;0.608;0.765;1;0.435;1;1;0.509;1;0.509;0.419;0.442;0.708;0;2;6.4575;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.436;0.436;0.735;0.735;0.482;2;0.1;1;1;0.415;1;0.415;0.467;0.237;0.438;1;2;0.15403;0.0007;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.365;0.365;0.606;0.606;0.431;0;1.325;1;1;1;1;1;0.39;0.234;0.366;0;1;0.00347;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.713;0.713;0.56;0.56;0.776;1;0.563;1;1;0.767;1;0.767;0.404;0.444;0.716;0;2;3.0184;0.00009;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.46;0.46;0.734;0.734;0.506;2;0.13;1;1;0.475;1;0.475;0.469;0.247;0.461;1;2;0.12112;0.00064;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Green;0;0.337;0.337;0.592;0.591;0.419;0;0.83;1;1;0.797;1;0.798;0.412;0.309;0;0;1;1.4956;0.00011;0;0;-;-;No Fluorophore;No Feed
Negative Control;Blue/Red;0;0.726;0.726;0.652;0.652;0.783;2;0.31;1;1;0.452;1;0.452;0.422;0.664;0.763;0;2;3.9593;0.00074;0;0;-;-;No Fluorophore;No Feed
Negative Control;Green/Red;0;0.437;0.437;0.758;0.758;0.492;2;0.107;1;1;0.365;1;0.365;0.466;0.342;0.439;1;2;0.31317;0.00074;0;0;-;-;No Fluorophore;No Feed
