Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
04.11.2020;126/8 ApnKO Negative Control;13a;3;256;256;35;77500000;4220000;22600000;0.186725664;3.42920354;18.36492891;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;4;256;256;35;69300000;4530000;17600000;0.257386364;3.9375;15.29801325;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;5;256;256;31;66900000;4980000;28200000;0.176595745;2.372340426;13.43373494;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;6;256;256;31;59900000;5290000;22100000;0.239366516;2.71040724;11.32325142;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;7;256;256;33;88200000;4210000;29900000;0.140802676;2.949832776;20.95011876;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;8;256;256;33;82200000;4630000;21900000;0.211415525;3.753424658;17.7537797;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;9;256;256;29;73600000;5580000;19200000;0.290625;3.833333333;13.18996416;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;10;256;256;29;71000000;5900000;16800000;0.351190476;4.226190476;12.03389831;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;11;256;256;31;88700000;5270000;30900000;0.170550162;2.870550162;16.83111954;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;12;256;256;31;83600000;5640000;22700000;0.24845815;3.682819383;14.82269504;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;13;256;256;27;42900000;3400000;16700000;0.203592814;2.568862275;12.61764706;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;14;256;256;27;39800000;3610000;14100000;0.256028369;2.822695035;11.02493075;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;15;256;256;32;70200000;6170000;35000000;0.176285714;2.005714286;11.37763371;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;16;256;256;32;62700000;5480000;27300000;0.200732601;2.296703297;11.44160584;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;17;256;256;36;51600000;3800000;17800000;0.213483146;2.898876404;13.57894737;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;18;256;256;36;47300000;4160000;15400000;0.27012987;3.071428571;11.37019231;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;19;256;256;26;7.16E+07;4.38E+06;2.40E+07;0.1825;2.983333333;16.34703196;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;20;256;256;26;6.51E+07;4.71E+06;1.85E+07;0.254594595;3.518918919;13.82165605;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;21;256;256;34;92100000;5920000;28000000;0.211428571;3.289285714;15.55743243;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;22;256;256;34;83100000;6370000;21800000;0.292201835;3.811926606;13.0455259;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;23;256;256;35;72000000;4680000;26100000;0.179310345;2.75862069;15.38461538;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;24;256;256;35;63900000;4960000;20000000;0.248;3.195;12.88306452;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;25;256;256;29;64800000;4350000;26700000;0.162921348;2.426966292;14.89655172;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;26;256;256;29;57900000;4640000;20400000;0.22745098;2.838235294;12.47844828;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;27;256;256;31;91900000;5520000;28000000;0.197142857;3.282142857;16.64855072;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;28;256;256;31;86900000;5900000;20800000;0.283653846;4.177884615;14.72881356;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;29;256;256;30;54300000;3510000;19400000;0.180927835;2.798969072;15.47008547;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;30;256;256;30;50600000;3700000;14500000;0.255172414;3.489655172;13.67567568;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;31;256;256;28;74000000;4770000;19400000;0.245876289;3.81443299;15.51362683;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;32;256;256;28;69300000;5150000;15700000;0.328025478;4.414012739;13.45631068;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;33;256;256;30;76900000;5040000;26200000;0.192366412;2.935114504;15.25793651;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;34;256;256;30;74800000;5380000;18700000;0.287700535;4;13.90334572;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;35;256;256;28;54600000;3820000;16300000;0.234355828;3.349693252;14.29319372;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;36;256;256;33;54800000;4280000;17600000;0.243181818;3.113636364;12.80373832;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;37;256;256;33;49100000;4640000;14500000;0.32;3.386206897;10.58189655;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;38;256;256;30;57400000;4040000;18600000;0.217204301;3.086021505;14.20792079;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;39;256;256;30;53100000;4410000;13400000;0.329104478;3.962686567;12.04081633;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;40;256;256;35;87000000;4920000;31500000;0.156190476;2.761904762;17.68292683;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;41;256;256;35;79400000;5300000;23000000;0.230434783;3.452173913;14.98113208;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;42;256;256;37;59400000;3800000;20800000;0.182692308;2.855769231;15.63157895;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Control;13a;43;256;256;37;53500000;4120000;14900000;0.276510067;3.590604027;12.98543689;No Fluorophore;No Feed
04.11.2020;126/8 ApnKO Negative Prop-Tyr;13b;3;256;256;27;5.71E+07;4.72E+06;3.15E+07;0.14984127;1.812698413;12.09745763;No Fluorophore;Prop-Tyr
04.11.2020;126/8 ApnKO Negative Prop-Tyr;13b;4;256;256;27;5.10E+07;5.02E+06;2.10E+07;0.239047619;2.428571429;10.15936255;No Fluorophore;Prop-Tyr
04.11.2020;126/8 ApnKO Negative Prop-Tyr;13b;5;256;256;26;4.72E+07;3.82E+06;2.20E+07;0.173636364;2.145454545;12.35602094;No Fluorophore;Prop-Tyr
04.11.2020;126/8 ApnKO Negative Prop-Tyr;13b;6;256;256;26;4.37E+07;4.10E+06;1.63E+07;0.251533742;2.680981595;10.65853659;No Fluorophore;Prop-Tyr
04.11.2020;126/8 ApnKO Negative Prop-Tyr;13b;7;256;256;28;45200000;3280000;17400000;0.188505747;2.597701149;13.7804878;No Fluorophore;Prop-Tyr
