Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
30.12.2020;126/8 CptDel Negative Control;66a;3;256;256;33;11600000;2040000;24000000;0.085;0.483333333;5.68627451;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;4;256;256;33;12400000;2070000;21900000;0.094520548;0.566210046;5.990338164;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;5;256;256;37;16000000;2260000;26800000;0.084328358;0.597014925;7.079646018;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;6;256;256;37;15900000;2300000;24000000;0.095833333;0.6625;6.913043478;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;7;256;256;35;8880000;2240000;25100000;0.089243028;0.353784861;3.964285714;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;8;256;256;35;8800000;2330000;23300000;0.1;0.377682403;3.776824034;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;9;256;256;34;10700000;1910000;26000000;0.073461538;0.411538462;5.602094241;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;10;256;256;34;10400000;1950000;23100000;0.084415584;0.45021645;5.333333333;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;11;256;256;40;13600000;2600000;32300000;0.080495356;0.421052632;5.230769231;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;12;256;256;40;14300000;2660000;28500000;0.093333333;0.501754386;5.37593985;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;13;256;256;37;15100000;2780000;36900000;0.075338753;0.409214092;5.431654676;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;14;256;256;37;14300000;2900000;32900000;0.088145897;0.434650456;4.931034483;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;15;256;256;29;13200000;4380000;29400000;0.148979592;0.448979592;3.01369863;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;16;256;256;29;13000000;4460000;26600000;0.167669173;0.488721805;2.914798206;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;17;256;256;32;17900000;2980000;32800000;0.090853659;0.545731707;6.006711409;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;18;256;256;32;18100000;3050000;29000000;0.105172414;0.624137931;5.93442623;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;19;256;256;33;20800000;3600000;31600000;0.113924051;0.658227848;5.777777778;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;20;256;256;33;19900000;3660000;28100000;0.13024911;0.708185053;5.43715847;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;22;256;256;60;21200000;5200000;49500000;0.105050505;0.428282828;4.076923077;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;23;256;256;60;21900000;5350000;44300000;0.120767494;0.494356659;4.093457944;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;24;256;256;34;9740000;2450000;36200000;0.067679558;0.269060773;3.975510204;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;25;256;256;34;10500000;2550000;32100000;0.079439252;0.327102804;4.117647059;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;26;256;256;34;12100000;5280000;37500000;0.1408;0.322666667;2.291666667;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;27;256;256;34;11800000;5480000;32400000;0.169135802;0.364197531;2.153284672;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;28;256;256;34;18700000;3520000;29000000;0.12137931;0.644827586;5.3125;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;29;256;256;34;19300000;3560000;25700000;0.138521401;0.750972763;5.421348315;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;30;256;256;31;15700000;2250000;30000000;0.075;0.523333333;6.977777778;No Fluorophore;No Feed
30.12.2020;126/8 CptDel Negative Control;66a;31;256;256;31;15000000;2320000;26300000;0.088212928;0.570342205;6.465517241;No Fluorophore;No Feed
