Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
19.01.2021;126/8 MV Negative Control;72a;3;256;256;18;2.55E+07;8.33E+06;1.97E+07;4.23E-01;1.29E+00;3.06E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;4;256;256;18;2.56E+07;8.54E+06;1.85E+07;4.62E-01;1.38E+00;3.00E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;5;256;256;20;2.69E+07;8.82E+06;1.90E+07;4.64E-01;1.42E+00;3.05E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;6;256;256;20;2.73E+07;8.80E+06;1.73E+07;5.09E-01;1.58E+00;3.10E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;7;256;256;19;2.89E+07;8.49E+06;1.90E+07;4.47E-01;1.52E+00;3.40E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;8;256;256;19;2.83E+07;8.57E+06;1.75E+07;4.90E-01;1.62E+00;3.30E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;9;256;256;22;2.61E+07;7.15E+06;2.03E+07;3.52E-01;1.29E+00;3.65E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;10;256;256;22;2.54E+07;7.29E+06;1.81E+07;4.03E-01;1.40E+00;3.48E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;11;256;256;22;2.39E+07;5.95E+06;1.95E+07;3.05E-01;1.23E+00;4.02E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;12;256;256;22;2.40E+07;5.96E+06;1.77E+07;3.37E-01;1.36E+00;4.03E+00;No Fluorophore;No Feed
19.01.2021;126/8 MV Negative Control;72a;13;256;256;22;2.95E+07;8.29E+06;2.13E+07;3.89E-01;1.38E+00;3.56E+00;No Fluorophore;No Feed
