Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series005;256;256;27;1.34E+07;1.65E+06;6.24E+06;2.64E-01;2.15E+00;8.12E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series006;256;256;27;1.34E+07;1.72E+06;5.26E+06;3.27E-01;2.55E+00;7.79E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series007;97;91;23;6.04E+06;8.30E+05;3.20E+06;2.59E-01;1.89E+00;7.28E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series008;100;95;23;6.04E+06;8.84E+05;2.51E+06;3.52E-01;2.41E+00;6.83E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series009;97;88;26;7.70E+06;7.85E+05;3.65E+06;2.15E-01;2.11E+00;9.81E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series010;98;93;26;7.65E+06;8.30E+05;2.81E+06;2.95E-01;2.72E+00;9.22E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series011;256;256;18;4.75E+06;5.65E+05;2.07E+06;2.73E-01;2.29E+00;8.41E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series012;256;256;18;4.49E+06;5.99E+05;1.70E+06;3.52E-01;2.64E+00;7.50E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series013;256;256;23;8.91E+06;1.51E+06;5.58E+06;2.71E-01;1.60E+00;5.90E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series014;256;256;23;9.20E+06;1.61E+06;4.80E+06;3.35E-01;1.92E+00;5.71E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series015;256;256;27;8.44E+06;1.26E+06;6.74E+06;1.87E-01;1.25E+00;6.70E+00;No Fluorophore;No Feed
