Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series005;132;148;27;1.15E+07;1.54E+06;5.96E+06;2.58E-01;1.93E+00;7.47E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series006;136;142;27;1.15E+07;1.63E+06;4.77E+06;3.42E-01;2.41E+00;7.06E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series007;97;91;23;6.04E+06;8.29E+05;3.26E+06;2.54E-01;1.85E+00;7.29E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series008;100;95;23;6.04E+06;8.84E+05;2.51E+06;3.52E-01;2.41E+00;6.83E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series009;97;88;26;7.70E+06;7.85E+05;3.65E+06;2.15E-01;2.11E+00;9.81E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series010;98;93;26;7.65E+06;8.30E+05;2.81E+06;2.95E-01;2.72E+00;9.22E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series011;95;99;18;3.20E+06;5.24E+05;1.87E+06;2.80E-01;1.71E+00;6.11E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series012;99;86;18;3.11E+06;5.51E+05;1.43E+06;3.85E-01;2.17E+00;5.64E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series013;89;89;23;4.15E+06;7.84E+05;3.65E+06;2.15E-01;1.14E+00;5.29E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series014;91;94;23;4.23E+06;7.92E+05;3.10E+06;2.55E-01;1.36E+00;5.34E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series015;116;103;27;6.31E+06;1.13E+06;6.22E+06;1.82E-01;1.01E+00;5.58E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series016;118;106;27;6.43E+06;1.20E+06;5.00E+06;2.40E-01;1.29E+00;5.36E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series017;85;85;27;4.15E+06;7.08E+05;3.98E+06;1.78E-01;1.04E+00;5.86E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series018;87;86;27;4.44E+06;7.96E+05;3.26E+06;2.44E-01;1.36E+00;5.58E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series019;96;84;25;4.85E+06;8.01E+05;2.81E+06;2.85E-01;1.73E+00;6.05E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series020;89;82;25;4.76E+06;8.38E+05;2.08E+06;4.03E-01;2.29E+00;5.68E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series021;95;96;24;6.29E+06;1.10E+06;2.68E+06;4.10E-01;2.35E+00;5.72E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series022;99;98;24;6.22E+06;1.14E+06;2.06E+06;5.53E-01;3.02E+00;5.46E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series023;96;99;28;4.11E+06;6.69E+05;3.81E+06;1.76E-01;1.08E+00;6.14E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series024;95;95;28;4.29E+06;7.40E+05;3.11E+06;2.38E-01;1.38E+00;5.80E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series025;133;144;26;8.43E+06;1.48E+06;5.36E+06;2.76E-01;1.57E+00;5.70E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series026;131;143;26;8.20E+06;1.54E+06;4.09E+06;3.77E-01;2.00E+00;5.32E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series027;116;108;28;8.72E+06;1.25E+06;5.45E+06;2.29E-01;1.60E+00;6.98E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series028;114;101;28;8.48E+06;1.33E+06;4.06E+06;3.28E-01;2.09E+00;6.38E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series029;101;97;31;5.86E+06;1.22E+06;5.06E+06;2.41E-01;1.16E+00;4.80E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series030;99;95;31;5.74E+06;1.26E+06;3.65E+06;3.45E-01;1.57E+00;4.56E+00;No Fluorophore;No Feed
13.08.2020;Microcystis aeruginosa  Negative Control;6a;series031;85;83;27;4.09E+06;6.91E+05;2.76E+06;2.50E-01;1.48E+00;5.92E+00;No Fluorophore;No Feed
