Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
09.10.2020;371-1 Negative Control;1a;5;512;512;18;105000000;10500000;37700000;0.278514589;2.785145889;10;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;6;512;512;18;98700000;10900000;28200000;0.386524823;3.5;9.055045872;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;7;256;256;18;24200000;2850000;12100000;0.23553719;2;8.49122807;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;8;256;256;18;23800000;2870000;9570000;0.299895507;2.486938349;8.292682927;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;9;256;256;16;25100000;2430000;13000000;0.186923077;1.930769231;10.32921811;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;10;256;256;16;24300000;2460000;10500000;0.234285714;2.314285714;9.87804878;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;11;256;256;20;19500000;1580000;6030000;0.262023217;3.233830846;12.34177215;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;12;256;256;20;18000000;1620000;5040000;0.321428571;3.571428571;11.11111111;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;13;256;256;42;34400000;3550000;7970000;0.445420326;4.316185696;9.690140845;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;14;256;256;42;33300000;3620000;6160000;0.587662338;5.405844156;9.198895028;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;15;256;256;34;42200000;4590000;19700000;0.232994924;2.14213198;9.193899782;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;16;256;256;34;38500000;4760000;13400000;0.355223881;2.873134328;8.088235294;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;18;256;256;42;73300000;8180000;16900000;0.484023669;4.337278107;8.960880196;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;19;256;256;42;68500000;8370000;11600000;0.721551724;5.905172414;8.183990442;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;20;256;256;56;107000000;12400000;44800000;0.276785714;2.388392857;8.629032258;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;21;256;256;56;97800000;12600000;29900000;0.421404682;3.27090301;7.761904762;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;22;256;256;29;52900000;3790000;18900000;0.200529101;2.798941799;13.95778364;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;23;256;256;29;49100000;3880000;12900000;0.300775194;3.80620155;12.65463918;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;24;256;256;48;76500000;7400000;32500000;0.227692308;2.353846154;10.33783784;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;25;256;256;48;71800000;7720000;21100000;0.365876777;3.402843602;9.300518135;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;26;256;256;36;55100000;10400000;16700000;0.622754491;3.299401198;5.298076923;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;27;256;256;36;51900000;10600000;11900000;0.890756303;4.361344538;4.896226415;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;28;256;256;37;47900000;4130000;19500000;0.211794872;2.456410256;11.59806295;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;29;256;256;37;44000000;4260000;13000000;0.327692308;3.384615385;10.3286385;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;30;256;256;29;39700000;6700000;11300000;0.592920354;3.513274336;5.925373134;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;31;256;256;29;36300000;6710000;8130000;0.825338253;4.464944649;5.409836066;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;32;256;256;33;49800000;4490000;20200000;0.222277228;2.465346535;11.09131403;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;33;256;256;33;45600000;4610000;13500000;0.341481481;3.377777778;9.89154013;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;1;256;256;29;48200000;4950000;15900000;0.311320755;3.031446541;9.737373737;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;2;256;256;29;44400000;4870000;11600000;0.419827586;3.827586207;9.117043121;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;3;256;256;29;53500000;6330000;27100000;0.233579336;1.974169742;8.451816746;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;4;256;256;29;47600000;6460000;19300000;0.334715026;2.466321244;7.368421053;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;5;256;256;34;35900000;3510000;22600000;0.155309735;1.588495575;10.22792023;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;6;256;256;34;32600000;3670000;14400000;0.254861111;2.263888889;8.882833787;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;7;256;256;29;52300000;5220000;26600000;0.196240602;1.966165414;10.01915709;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;8;256;256;29;50300000;5340000;17600000;0.303409091;2.857954545;9.419475655;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;9;256;256;32;47100000;3530000;17900000;0.197206704;2.631284916;13.3427762;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;10;256;256;32;42300000;3580000;13000000;0.275384615;3.253846154;11.81564246;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;11;256;256;32;43100000;4280000;23200000;0.184482759;1.857758621;10.07009346;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;12;256;256;32;38200000;4380000;15200000;0.288157895;2.513157895;8.721461187;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;13;256;256;32;53100000;5540000;24900000;0.22248996;2.13253012;9.584837545;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;14;256;256;32;48200000;5590000;16300000;0.342944785;2.957055215;8.62254025;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;15;256;256;27;37700000;4010000;11400000;0.351754386;3.307017544;9.401496259;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;16;256;256;27;34900000;3990000;8560000;0.466121495;4.077102804;8.746867168;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;17;256;256;31;57700000;5610000;27100000;0.20701107;2.129151292;10.28520499;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;18;256;256;31;54700000;5740000;18300000;0.313661202;2.989071038;9.529616725;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;19;256;256;21;27500000;3620000;5590000;0.647584973;4.919499106;7.596685083;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;20;256;256;21;24800000;3650000;5070000;0.719921105;4.891518738;6.794520548;No Fluorophore;No Feed
09.10.2020;371-1 Negative Prop-Tyr;1b;5;256;256;33;64600000;9280000;19100000;0.485863874;3.382198953;6.961206897;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;6;256;256;33;59000000;9440000;12400000;0.761290323;4.758064516;6.25;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;7;256;256;31;42200000;4980000;10900000;0.456880734;3.871559633;8.473895582;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;8;256;256;31;39900000;5080000;8800000;0.577272727;4.534090909;7.854330709;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;9;256;256;28;54800000;5100000;13100000;0.389312977;4.183206107;10.74509804;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;10;256;256;28;51000000;5270000;9510000;0.554153523;5.362776025;9.677419355;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;11;256;256;29;45400000;5810000;14800000;0.392567568;3.067567568;7.814113597;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;12;256;256;29;41000000;6000000;10300000;0.582524272;3.980582524;6.833333333;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;13;256;256;33;55400000;7710000;12400000;0.621774194;4.467741935;7.185473411;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;14;256;256;33;52200000;7850000;8870000;0.885005637;5.885005637;6.649681529;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;15;256;256;28;46600000;5140000;14400000;0.356944444;3.236111111;9.06614786;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;16;256;256;28;43200000;5270000;9670000;0.544984488;4.467425026;8.197343454;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;17;256;256;35;67700000;9600000;15100000;0.635761589;4.483443709;7.052083333;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;18;256;256;35;64300000;9890000;11400000;0.86754386;5.640350877;6.501516684;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;19;256;256;27;66200000;5230000;14900000;0.351006711;4.44295302;12.65774379;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;20;256;256;27;61000000;5450000;9650000;0.564766839;6.321243523;11.19266055;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;21;256;256;27;58900000;8250000;13900000;0.59352518;4.237410072;7.139393939;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;22;256;256;27;55600000;8400000;10100000;0.831683168;5.504950495;6.619047619;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;23;256;256;29;41600000;4330000;11800000;0.366949153;3.525423729;9.6073903;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;1;256;256;25;47200000;5050000;11700000;0.431623932;4.034188034;9.346534653;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;2;256;256;25;44000000;5090000;9300000;0.547311828;4.731182796;8.644400786;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;3;256;256;28;56700000;5630000;13200000;0.426515152;4.295454545;10.07104796;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;4;256;256;28;53000000;5780000;9900000;0.583838384;5.353535354;9.169550173;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;5;256;256;30;38600000;4050000;12600000;0.321428571;3.063492063;9.530864198;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;6;256;256;30;34800000;4130000;9420000;0.438428875;3.694267516;8.426150121;No Fluorophore;Prop-Tyr
