Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
09.10.2020;371-1 Negative Control;1a;5;512;512;18;105000000;10500000;37700000;0.278514589;2.785145889;10;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;6;512;512;18;98700000;10900000;28200000;0.386524823;3.5;9.055045872;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;7;256;256;18;24200000;2850000;12100000;0.23553719;2;8.49122807;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;8;256;256;18;23800000;2870000;9570000;0.299895507;2.486938349;8.292682927;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;9;256;256;16;25100000;2430000;13000000;0.186923077;1.930769231;10.32921811;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;10;256;256;16;24300000;2460000;10500000;0.234285714;2.314285714;9.87804878;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;11;256;256;20;19500000;1580000;6030000;0.262023217;3.233830846;12.34177215;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;12;256;256;20;18000000;1620000;5040000;0.321428571;3.571428571;11.11111111;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;13;256;256;42;34400000;3550000;7970000;0.445420326;4.316185696;9.690140845;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;14;256;256;42;33300000;3620000;6160000;0.587662338;5.405844156;9.198895028;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;15;256;256;31;4.01E+07;3.93E+06;1.92E+07;0.2046875;2.088541667;10.20356234;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;16;256;256;31;3.64E+07;4.06E+06;2.34E+07;0.173504274;1.555555556;8.965517241;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;18;256;256;27;6.03E+07;3.80E+06;1.42E+07;0.267605634;4.246478873;15.86842105;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;19;256;256;27;5.82E+07;4.03E+06;9.88E+06;0.407894737;5.890688259;14.44168734;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;20;256;256;52;1.06E+08;8.06E+06;4.41E+07;0.18276644;2.403628118;13.15136476;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;21;256;256;52;9.65E+07;8.33E+06;2.94E+07;0.283333333;3.282312925;11.58463385;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;22;256;256;29;52900000;3790000;18900000;0.200529101;2.798941799;13.95778364;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;23;256;256;29;49100000;3880000;12900000;0.300775194;3.80620155;12.65463918;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;24;256;256;48;76500000;7400000;32500000;0.227692308;2.353846154;10.33783784;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;25;256;256;48;71800000;7720000;21100000;0.365876777;3.402843602;9.300518135;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;26;256;256;30;5.31E+07;4.83E+06;1.60E+07;0.301875;3.31875;10.99378882;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;27;256;256;30;5.00E+07;4.96E+06;1.13E+07;0.438938053;4.424778761;10.08064516;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;28;256;256;37;47900000;4130000;19500000;0.211794872;2.456410256;11.59806295;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;29;256;256;37;44000000;4260000;13000000;0.327692308;3.384615385;10.3286385;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;30;256;256;22;3.31E+07;2.95E+06;1.08E+07;0.273148148;3.064814815;11.22033898;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;31;256;256;20;2.71E+07;2.35E+06;6.00E+06;0.391666667;4.516666667;11.53191489;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;32;256;256;33;49800000;4490000;20200000;0.222277228;2.465346535;11.09131403;No Fluorophore;No Feed
09.10.2020;371-1 Negative Control;1a;33;256;256;33;45600000;4610000;13500000;0.341481481;3.377777778;9.89154013;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;1;256;256;29;48200000;4950000;15900000;0.311320755;3.031446541;9.737373737;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;2;256;256;29;44400000;4870000;11600000;0.419827586;3.827586207;9.117043121;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;3;256;256;29;53500000;6330000;27100000;0.233579336;1.974169742;8.451816746;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;4;256;256;29;47600000;6460000;19300000;0.334715026;2.466321244;7.368421053;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;5;256;256;34;35900000;3510000;22600000;0.155309735;1.588495575;10.22792023;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;6;256;256;34;32600000;3670000;14400000;0.254861111;2.263888889;8.882833787;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;7;256;256;29;52300000;5220000;26600000;0.196240602;1.966165414;10.01915709;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;8;256;256;29;50300000;5340000;17600000;0.303409091;2.857954545;9.419475655;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;9;256;256;32;47100000;3530000;17900000;0.197206704;2.631284916;13.3427762;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;10;256;256;32;42300000;3580000;13000000;0.275384615;3.253846154;11.81564246;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;11;256;256;32;43100000;4280000;23200000;0.184482759;1.857758621;10.07009346;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;12;256;256;32;38200000;4380000;15200000;0.288157895;2.513157895;8.721461187;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;13;256;256;28;5.15E+07;4.19E+06;2.41E+07;0.173858921;2.136929461;12.29116945;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;14;256;256;28;4.67E+07;4.36E+06;1.58E+07;0.275949367;2.955696203;10.71100917;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;15;256;256;24;3.62E+07;3.08E+06;1.08E+07;0.285185185;3.351851852;11.75324675;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;16;256;256;24;3.35E+07;3.13E+06;8.12E+06;0.38546798;4.125615764;10.7028754;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;17;256;256;31;57700000;5610000;27100000;0.20701107;2.129151292;10.28520499;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;18;256;256;31;54700000;5740000;18300000;0.313661202;2.989071038;9.529616725;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;19;256;256;18;2.59E+07;2.33E+06;5.16E+06;0.451550388;5.019379845;11.11587983;No Fluorophore;No Feed
16.11.2020;371-1 Negative Control;1a bis;20;256;256;18;2.34E+07;2.40E+06;4.68E+06;0.512820513;5;9.75;No Fluorophore;No Feed
09.10.2020;371-1 Negative Prop-Tyr;1b;5;256;256;27;6.30E+07;4.34E+06;1.87E+07;0.232085561;3.368983957;14.51612903;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;6;256;256;27;5.75E+07;4.50E+06;1.21E+07;0.371900826;4.752066116;12.77777778;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;7;256;256;27;4.16E+07;4.51E+06;1.05E+07;0.42952381;3.961904762;9.223946785;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;8;256;256;27;3.84E+07;4.63E+06;8.52E+06;0.54342723;4.507042254;8.293736501;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;9;256;256;28;54800000;5100000;13100000;0.389312977;4.183206107;10.74509804;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;10;256;256;28;51000000;5270000;9510000;0.554153523;5.362776025;9.677419355;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;11;256;256;25;4.32E+07;4.21E+06;1.40E+07;0.300714286;3.085714286;10.26128266;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;12;256;256;25;3.91E+07;4.35E+06;9.81E+06;0.443425076;3.985728848;8.988505747;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;13;256;256;27;5.16E+07;4.16E+06;1.11E+07;0.374774775;4.648648649;12.40384615;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;14;256;256;27;4.87E+07;4.26E+06;8.19E+06;0.52014652;5.946275946;11.43192488;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;15;256;256;25;4.47E+07;4.28E+06;1.36E+07;0.314705882;3.286764706;10.44392523;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;16;256;256;25;4.14E+07;4.40E+06;9.33E+06;0.471596999;4.437299035;9.409090909;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;17;256;256;28;6.34E+07;4.62E+06;1.41E+07;0.327659574;4.496453901;13.72294372;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;18;256;256;28;6.02E+07;4.81E+06;1.06E+07;0.453773585;5.679245283;12.51559252;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;19;256;256;23;6.06E+07;4.32E+06;1.41E+07;0.306382979;4.29787234;14.02777778;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;20;256;256;24;5.76E+07;4.66E+06;9.27E+06;0.502696872;6.213592233;12.36051502;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;21;256;256;21;5.29E+07;4.27E+06;1.15E+07;0.371304348;4.6;12.38875878;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;22;256;256;21;5.00E+07;4.41E+06;8.66E+06;0.509237875;5.773672055;11.33786848;No Fluorophore;Prop-Tyr
09.10.2020;371-1 Negative Prop-Tyr;1b;23;256;256;26;3.85E+07;3.79E+06;1.08E+07;0.350925926;3.564814815;10.15831135;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;1;256;256;21;4.38E+07;3.36E+06;1.05E+07;0.32;4.171428571;13.03571429;No Fluorophore;Prop-Tyr
16.11.2020;371-1 Negative Prop-Tyr;1b bis;2;256;256;21;4.08E+07;3.45E+06;8.41E+06;0.410225922;4.85136742;11.82608696;No Fluorophore;Prop-Tyr
