Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
13.08.2020;PCC6803 Negative Control;12a;5;102;82;15;1.22E+06;4.27E+05;1.15E+06;3.71E-01;1.06E+00;2.86E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;6;100;79;15;1.16E+06;4.27E+05;1.05E+06;4.07E-01;1.10E+00;2.72E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;7;47;48;19;4.57E+05;1.54E+05;4.33E+05;3.56E-01;1.06E+00;2.97E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;8;51;55;18;4.79E+05;1.50E+05;3.75E+05;4.00E-01;1.28E+00;3.19E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;9;46;49;15;4.52E+05;1.17E+05;5.25E+05;2.23E-01;8.61E-01;3.86E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;10;43;46;15;4.03E+05;1.13E+05;4.27E+05;2.65E-01;9.44E-01;3.57E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;11;48;49;15;3.93E+05;1.53E+05;3.92E+05;3.90E-01;1.00E+00;2.57E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;12;52;49;15;4.12E+05;1.63E+05;3.65E+05;4.47E-01;1.13E+00;2.53E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;13;44;47;14;2.51E+05;1.08E+05;3.64E+05;2.97E-01;6.90E-01;2.32E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;14;40;48;11;2.00E+05;7.24E+04;2.47E+05;2.93E-01;8.10E-01;2.76E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;15;44;61;13;4.48E+05;1.23E+05;4.91E+05;2.51E-01;9.12E-01;3.64E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;16;51;63;13;4.65E+05;1.27E+05;4.44E+05;2.86E-01;1.05E+00;3.66E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;17;49;47;14;3.48E+05;1.03E+05;3.24E+05;3.18E-01;1.07E+00;3.38E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;18;47;45;14;3.37E+05;1.05E+05;3.05E+05;3.44E-01;1.10E+00;3.21E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;19;47;47;16;4.21E+05;1.12E+05;5.56E+05;2.01E-01;7.57E-01;3.76E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;20;43;48;16;3.85E+05;1.14E+05;4.66E+05;2.45E-01;8.26E-01;3.38E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;21;44;46;14;3.92E+05;1.21E+05;4.09E+05;2.96E-01;9.58E-01;3.24E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;22;52;47;14;4.28E+05;1.34E+05;4.02E+05;3.33E-01;1.06E+00;3.19E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;23;39;43;11;2.41E+05;7.15E+04;2.77E+05;2.58E-01;8.70E-01;3.37E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;24;44;41;11;2.45E+05;7.68E+04;2.53E+05;3.04E-01;9.68E-01;3.19E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;25;45;60;14;5.19E+05;1.70E+05;6.09E+05;2.79E-01;8.52E-01;3.05E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Control;12a;26;48;57;11;4.66E+05;1.29E+05;4.78E+05;2.70E-01;9.75E-01;3.61E+00;No Fluorophore;No Feed
13.08.2020;PCC6803 Negative Prop-Tyr;12b;5;57;61;13;2.52E+06;2.32E+05;4.13E+05;5.62E-01;6.10E+00;1.09E+01;No Fluorophore;Prop-Tyr
13.08.2020;PCC6803 Negative Prop-Tyr;12b;6;58;66;13;2.62E+06;2.52E+05;4.21E+05;5.99E-01;6.22E+00;1.04E+01;No Fluorophore;Prop-Tyr
13.08.2020;PCC6803 Negative Prop-Tyr;12b;7;111;139;16;8.76E+06;9.83E+05;2.12E+06;4.64E-01;4.13E+00;8.91E+00;No Fluorophore;Prop-Tyr
13.08.2020;PCC6803 Negative Prop-Tyr;12b;8;113;137;16;9.09E+06;1.02E+06;1.96E+06;5.20E-01;4.64E+00;8.91E+00;No Fluorophore;Prop-Tyr
13.08.2020;PCC6803 Negative Prop-Tyr;12b;9;52;55;12;1.56E+06;1.42E+05;5.33E+05;2.66E-01;2.93E+00;1.10E+01;No Fluorophore;Prop-Tyr
13.08.2020;PCC6803 Negative Prop-Tyr;12b;10;52;54;12;1.57E+06;1.51E+05;4.52E+05;3.34E-01;3.47E+00;1.04E+01;No Fluorophore;Prop-Tyr
