Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
23.10.2020;126/8 Negative Control;7a;5;256;256;35;25800000;2630000;17600000;0.149431818;1.465909091;9.809885932;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;6;256;256;35;25100000;2690000;14000000;0.192142857;1.792857143;9.330855019;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;7;256;256;34;31900000;2800000;24600000;0.113821138;1.296747967;11.39285714;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;8;256;256;34;30600000;2850000;20500000;0.13902439;1.492682927;10.73684211;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;9;256;256;35;61000000;4910000;28800000;0.170486111;2.118055556;12.42362525;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;10;256;256;35;58800000;5080000;22600000;0.224778761;2.601769912;11.57480315;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;11;256;256;31;33100000;3790000;27600000;0.137318841;1.199275362;8.733509235;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;12;256;256;31;31700000;3950000;21800000;0.181192661;1.45412844;8.025316456;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;13;256;256;39;36400000;3420000;21200000;0.161320755;1.716981132;10.64327485;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;14;256;256;39;36200000;3550000;16400000;0.216463415;2.207317073;10.1971831;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;15;256;256;33;40700000;4840000;27500000;0.176;1.48;8.409090909;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;16;256;256;33;38400000;5090000;22100000;0.230316742;1.737556561;7.544204322;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;17;256;256;26;20200000;2790000;10000000;0.279;2.02;7.240143369;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;18;256;256;26;19200000;2880000;8180000;0.35207824;2.347188264;6.666666667;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;19;256;256;35;36000000;3600000;27800000;0.129496403;1.294964029;10;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;20;256;256;35;33400000;918000;21200000;0.043301887;1.575471698;36.38344227;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;22;256;256;39;55600000;4340000;27700000;0.1566787;2.007220217;12.81105991;No Fluorophore;No Feed
23.10.2020;126/8 Negative Control;7a;23;256;256;39;51700000;4580000;19300000;0.237305699;2.678756477;11.28820961;No Fluorophore;No Feed
