Date SP8;Title;Slide No;Series;X..pixel.;Y..pixel.;Z..pixel.;Ch0..tot.Signal.intensity.;Ch1..tot.Signal.intensity.;Ch2..tot.Signal.intensity.;Ratio.Ch1.2;Ratio.Ch0.2;Ratio.Ch0.1;Treatment;Feeding
20.01.2021;126/8 dD2-2 Negative Control;78a;3;256;256;30;1.76E+07;5.05E+06;2.86E+07;1.77E-01;6.15E-01;3.49E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;4;256;256;30;1.70E+07;5.09E+06;2.38E+07;2.14E-01;7.14E-01;3.34E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;5;256;256;31;1.73E+07;5.93E+06;2.27E+07;2.61E-01;7.62E-01;2.92E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;6;256;256;31;1.76E+07;6.11E+06;1.94E+07;3.15E-01;9.07E-01;2.88E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;7;256;256;30;1.86E+07;4.57E+06;2.44E+07;1.87E-01;7.62E-01;4.07E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;8;256;256;30;1.83E+07;4.80E+06;1.99E+07;2.41E-01;9.20E-01;3.81E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;9;256;256;65;5.53E+07;6.52E+06;5.66E+07;1.15E-01;9.77E-01;8.48E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;10;256;256;65;5.31E+07;6.88E+06;4.64E+07;1.48E-01;1.14E+00;7.72E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;11;256;256;27;1.53E+07;3.34E+06;2.52E+07;1.33E-01;6.07E-01;4.58E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;12;256;256;27;1.58E+07;3.49E+06;2.09E+07;1.67E-01;7.56E-01;4.53E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;13;256;256;33;2.43E+07;4.53E+06;2.87E+07;1.58E-01;8.47E-01;5.36E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;14;256;256;33;2.41E+07;4.75E+06;2.30E+07;2.07E-01;1.05E+00;5.07E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;15;256;256;32;2.16E+07;4.32E+06;2.80E+07;1.54E-01;7.71E-01;5.00E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;16;256;256;32;2.27E+07;4.52E+06;2.32E+07;1.95E-01;9.78E-01;5.02E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;17;256;256;31;2.47E+07;4.69E+06;2.62E+07;1.79E-01;9.43E-01;5.27E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;18;256;256;31;2.24E+07;4.84E+06;2.10E+07;2.30E-01;1.07E+00;4.63E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;19;256;256;33;2.15E+07;4.52E+06;2.79E+07;1.62E-01;7.71E-01;4.76E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;20;256;256;33;2.20E+07;4.67E+06;2.23E+07;2.09E-01;9.87E-01;4.71E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;21;256;256;28;2.30E+07;4.15E+06;3.30E+07;1.26E-01;6.97E-01;5.54E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;22;256;256;28;2.24E+07;4.43E+06;2.58E+07;1.72E-01;8.68E-01;5.06E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;23;256;256;28;1.81E+07;4.27E+06;2.57E+07;1.66E-01;7.04E-01;4.24E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;24;256;256;28;1.70E+07;4.41E+06;2.09E+07;2.11E-01;8.13E-01;3.85E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;25;256;256;34;1.92E+07;3.80E+06;2.14E+07;1.78E-01;8.97E-01;5.05E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;26;256;256;34;1.81E+07;3.90E+06;1.77E+07;2.20E-01;1.02E+00;4.64E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;27;256;256;27;1.73E+07;4.13E+06;2.18E+07;1.89E-01;7.94E-01;4.19E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;28;256;256;27;1.67E+07;4.29E+06;1.83E+07;2.34E-01;9.13E-01;3.89E+00;No Fluorophore;No Feed
20.01.2021;126/8 dD2-2 Negative Control;78a;29;256;256;28;2.70E+07;5.98E+06;2.76E+07;2.17E-01;9.78E-01;4.52E+00;No Fluorophore;No Feed
